controller,n,pitch_travel_deg,ratio_vs_gspi,duty_deg_per_s,residual_dbeta_deg,J
GSPI (pairing reference),0,27.9,1.0,0.2146,0.0,0.0
"LPV-MPC, nominal",1,213.76,7.661,1.6443,0.0,16.28
"LPV-MPC, offset-free",1,213.06,7.636,1.6389,0.0,20.47
"LPV-MPC, adaptive (RLS)",1,204.6,7.333,1.5738,0.0,20.44
"LPV-MPC, nominal, Cp x0.95",1,197.11,7.064,1.5162,0.0,8.53
"LPV-MPC, offset-free, Cp x0.95",1,196.94,7.058,1.5149,0.0,21.66
GSPI base + fixed-reward residual,5,62.37,2.235,0.4798,0.1395,4.86
GSPI base + agent-reward residual,5,40.99,1.469,0.3153,0.089,5.3
MPC base + fixed-reward residual,3,151.97,5.447,1.169,0.0148,16.6
MPC base + agent-reward residual,3,215.58,7.726,1.6583,0.0087,17.23
x0.95 MPC base + fixed-reward residual,3,217.99,7.813,1.6768,0.0573,14.17
x0.95 MPC base + agent-reward residual,3,161.87,5.801,1.2452,0.0763,12.66
