run,arm,objective,campaign,eval_tag,F,F_strict,F_tol2,tier,target,del_red_pct,TwrBsMyt_DEL_red_pct,RootMyc1_DEL_red_pct,speed_std_ratio,speed_mae_ratio_R3,energy_loss_pct,power_mse_red_pct,gen_speed_mse_red_pct,constraints_ok,note
_migration_check,(migration checks),-,infra,migcheck_gspi,-0.0,-0.0,-0.0,tol2,tower,-0.0,-0.0,0.0,1.0,1.0,-0.0,-0.0,-0.0,False,GSPI identity checks; provenance for the 2026-09-09 baseline restore
_migration_check,(migration checks),-,infra,relabel_check,-0.0,-0.0,-0.0,strict,tower,-0.0,-0.0,0.0,1.0,1.0,-0.0,-0.0,0.0,True,GSPI identity checks; provenance for the 2026-09-09 baseline restore
_migration_check,(migration checks),-,infra,restore_check,-0.0,-0.0,-0.0,tol2,tower,-0.0,-0.0,0.0,1.0,1.0,-0.0,-0.0,-0.0,False,GSPI identity checks; provenance for the 2026-09-09 baseline restore
gspi_td,GSPI+tower damper,tower,A2,heldout_s3456,-4.487,-4.487,0.673,tol2,tower,0.673,0.673,-0.013,1.003,1.003,-0.001,-0.34,-0.541,False,"ROSCO TD_Mode=1 reference controller, gain sweep + held-out"
gspi_td,GSPI+tower damper,tower,A2,identity_td_off,-0.0,-0.0,-0.0,strict,tower,-0.0,-0.0,0.0,1.0,1.0,0.0,0.0,0.0,True,"ROSCO TD_Mode=1 reference controller, gain sweep + held-out"
gspi_td,GSPI+tower damper,tower,A2,robust_ti14,-3.553,-3.553,0.067,tol2,tower,0.067,0.067,0.084,1.002,1.002,-0.008,-0.128,-0.334,False,"ROSCO TD_Mode=1 reference controller, gain sweep + held-out"
gspi_td,GSPI+tower damper,tower,A2,robust_ti22,-4.103,-4.103,0.712,tol2,tower,0.712,0.712,0.061,1.002,1.003,0.004,-0.14,-0.48,False,"ROSCO TD_Mode=1 reference controller, gain sweep + held-out"
gspi_td,GSPI+tower damper,tower,A2,robust_u18,-2.295,-2.295,0.593,tol2,tower,0.593,0.593,0.157,1.001,1.001,-0.0,-0.288,-0.288,False,"ROSCO TD_Mode=1 reference controller, gain sweep + held-out"
gspi_td,GSPI+tower damper,tower,A2,tune_ki0.001_hpf0.172,-4.211,-4.211,0.615,tol2,tower,0.615,0.615,2.659,1.002,1.004,0.001,-0.441,-0.504,False,"ROSCO TD_Mode=1 reference controller, gain sweep + held-out"
gspi_td,GSPI+tower damper,tower,A2,tune_ki0.001_hpf0.500,-5.01,-5.01,0.841,tol2,tower,0.841,0.841,2.554,1.003,1.004,-0.004,-0.501,-0.598,False,"ROSCO TD_Mode=1 reference controller, gain sweep + held-out"
gspi_td,GSPI+tower damper,tower,A2,tune_ki0.003_hpf0.172,-13.464,-13.464,1.587,tol2,tower,1.587,1.587,0.172,1.008,1.012,-0.005,-1.367,-1.597,False,"ROSCO TD_Mode=1 reference controller, gain sweep + held-out"
gspi_td,GSPI+tower damper,tower,A2,tune_ki0.003_hpf0.500,-17.053,-17.053,1.259,tol2,tower,1.259,1.259,0.026,1.009,1.013,0.005,-1.562,-1.898,False,"ROSCO TD_Mode=1 reference controller, gain sweep + held-out"
gspi_td,GSPI+tower damper,tower,A2,tune_ki0.01_hpf0.172,-57.688,-57.688,-17.688,degraded,tower,4.929,4.929,2.977,1.031,1.045,0.008,-4.862,-6.616,False,"ROSCO TD_Mode=1 reference controller, gain sweep + held-out"
gspi_td,GSPI+tower damper,tower,A2,tune_ki0.01_hpf0.500,-71.658,-71.658,-31.658,degraded,tower,3.913,3.913,2.794,1.038,1.051,0.009,-5.807,-7.916,False,"ROSCO TD_Mode=1 reference controller, gain sweep + held-out"
gspi_td,GSPI+tower damper,tower,A2,tune_ki0.03_hpf0.172,-190.38,-190.38,-150.38,degraded,tower,7.578,7.578,-0.432,1.099,1.108,0.006,-17.581,-21.108,False,"ROSCO TD_Mode=1 reference controller, gain sweep + held-out"
gspi_td,GSPI+tower damper,tower,A2,tune_ki0.03_hpf0.500,-260.211,-260.211,-220.211,degraded,tower,3.872,3.872,-3.249,1.132,1.138,0.001,-24.675,-28.746,False,"ROSCO TD_Mode=1 reference controller, gain sweep + held-out"
gspi_td,GSPI+tower damper,tower,A2,tune_ki0.10_hpf0.172,-2448.245,-2448.245,-2408.245,degraded,tower,-25.776,-25.776,-13.859,2.211,2.35,0.06,-523.278,-542.579,False,"ROSCO TD_Mode=1 reference controller, gain sweep + held-out"
gspi_td,GSPI+tower damper,tower,A2,tune_ki0.10_hpf0.500,-3779.34,-3779.34,-3739.34,degraded,tower,-53.528,-53.528,-18.061,2.863,3.093,0.077,-1010.036,-1031.326,False,"ROSCO TD_Mode=1 reference controller, gain sweep + held-out"
gspi_td,GSPI+tower damper,tower,A2,tune_ki0.30_hpf0.172,-8758.964,-8758.964,-8718.964,degraded,tower,-76.005,-76.005,-39.576,5.341,5.668,0.381,-4734.438,-4122.46,False,"ROSCO TD_Mode=1 reference controller, gain sweep + held-out"
gspi_td,GSPI+tower damper,tower,A2,tune_ki0.30_hpf0.500,-8995.246,-8995.246,-8955.246,degraded,tower,-102.005,-102.005,-39.247,5.447,5.759,0.384,-5140.432,-4419.285,False,"ROSCO TD_Mode=1 reference controller, gain sweep + held-out"
ipc_off_s0,guard (blade obj),blade,robust,heldout_s3456_ckpt_best,9.971,9.971,9.971,strict,blade,9.971,8.991,9.965,0.853,0.83,0.617,-8.747,26.618,True,RL-alone; the only stress-swept RL set
ipc_off_s0,guard (blade obj),blade,robust,heldout_s3456_ckpt_last,9.971,9.971,9.971,strict,blade,9.971,8.991,9.965,0.853,0.83,0.617,-8.747,26.618,True,RL-alone; the only stress-swept RL set
ipc_off_s0,guard (blade obj),blade,robust,robust_ti14,12.51,12.51,12.51,strict,blade,12.51,14.662,12.509,0.878,0.83,0.624,22.528,22.741,True,RL-alone; the only stress-swept RL set
ipc_off_s0,guard (blade obj),blade,robust,robust_ti22,5.381,5.381,5.381,strict,blade,5.381,17.247,5.382,0.817,0.809,0.406,0.004,32.546,True,RL-alone; the only stress-swept RL set
ipc_off_s0,guard (blade obj),blade,robust,robust_u18,5.861,5.861,5.861,strict,blade,5.861,-6.718,5.861,0.838,0.824,-0.0,29.653,29.654,True,RL-alone; the only stress-swept RL set
ipc_off_s1,guard (blade obj),blade,robust,heldout_s3456_ckpt_best,11.088,11.088,11.088,strict,blade,11.088,7.352,11.08,0.91,0.888,0.57,-18.312,17.314,True,RL-alone; the only stress-swept RL set
ipc_off_s1,guard (blade obj),blade,robust,heldout_s3456_ckpt_last,11.088,11.088,11.088,strict,blade,11.088,7.352,11.08,0.91,0.888,0.57,-18.312,17.314,True,RL-alone; the only stress-swept RL set
ipc_off_s1,guard (blade obj),blade,robust,robust_ti14,14.63,14.63,14.63,strict,blade,14.63,17.561,14.631,0.893,0.842,0.559,19.576,20.046,True,RL-alone; the only stress-swept RL set
ipc_off_s1,guard (blade obj),blade,robust,robust_ti22,7.078,7.078,7.078,strict,blade,7.078,21.986,7.079,0.829,0.825,0.394,-6.347,30.388,True,RL-alone; the only stress-swept RL set
ipc_off_s1,guard (blade obj),blade,robust,robust_u18,7.401,7.401,7.401,strict,blade,7.401,-8.598,7.401,0.867,0.851,0.002,24.862,24.864,True,RL-alone; the only stress-swept RL set
ipc_off_s2,guard (blade obj),blade,robust,heldout_s3456_ckpt_best,10.159,10.159,10.159,strict,blade,10.159,15.698,10.153,0.921,0.897,0.449,-20.74,14.99,True,RL-alone; the only stress-swept RL set
ipc_off_s2,guard (blade obj),blade,robust,heldout_s3456_ckpt_last,10.159,10.159,10.159,strict,blade,10.159,15.698,10.153,0.921,0.897,0.449,-20.74,14.99,True,RL-alone; the only stress-swept RL set
ipc_off_s2,guard (blade obj),blade,robust,robust_ti14,13.049,13.049,13.049,strict,blade,13.049,19.215,13.05,0.95,0.903,0.399,9.564,9.646,True,RL-alone; the only stress-swept RL set
ipc_off_s2,guard (blade obj),blade,robust,robust_ti22,6.405,6.405,6.405,strict,blade,6.405,28.212,6.405,0.885,0.894,0.336,-21.283,20.944,True,RL-alone; the only stress-swept RL set
ipc_off_s2,guard (blade obj),blade,robust,robust_u18,3.598,3.598,3.598,strict,blade,3.598,-0.368,3.597,0.939,0.928,-0.004,11.734,11.736,True,RL-alone; the only stress-swept RL set
ipc_off_s3,guard (blade obj),blade,robust,heldout_s3456_ckpt_best,5.685,5.685,5.685,strict,blade,5.685,11.395,5.685,0.937,0.923,0.171,-3.584,12.115,True,RL-alone; the only stress-swept RL set
ipc_off_s3,guard (blade obj),blade,robust,heldout_s3456_ckpt_last,-13.315,-13.315,8.832,tol2,blade,8.832,10.7,8.832,1.011,1.004,0.238,-2.287,-2.291,False,RL-alone; the only stress-swept RL set
ipc_off_s3,guard (blade obj),blade,robust,robust_ti14,5.789,5.789,5.789,strict,blade,5.789,11.654,5.789,0.961,0.95,0.212,7.389,7.397,True,RL-alone; the only stress-swept RL set
ipc_off_s3,guard (blade obj),blade,robust,robust_ti22,1.813,1.813,1.813,strict,blade,1.813,14.465,1.814,0.935,0.937,0.234,-3.307,12.416,True,RL-alone; the only stress-swept RL set
ipc_off_s3,guard (blade obj),blade,robust,robust_u18,1.483,1.483,1.483,strict,blade,1.483,2.138,1.482,0.967,0.963,0.005,6.554,6.556,True,RL-alone; the only stress-swept RL set
ipc_off_s4,guard (blade obj),blade,robust,heldout_s3456_ckpt_best,9.512,9.512,9.512,strict,blade,9.512,14.533,9.51,0.978,0.977,0.578,4.218,4.219,True,RL-alone; the only stress-swept RL set
ipc_off_s4,guard (blade obj),blade,robust,heldout_s3456_ckpt_last,-36.551,-36.551,3.449,degraded,blade,12.011,7.089,12.005,1.024,1.02,0.709,-5.039,-5.032,False,RL-alone; the only stress-swept RL set
ipc_off_s4,guard (blade obj),blade,robust,robust_ti14,13.851,13.851,13.851,strict,blade,13.851,18.549,13.851,0.965,0.934,0.632,6.669,6.772,True,RL-alone; the only stress-swept RL set
ipc_off_s4,guard (blade obj),blade,robust,robust_ti22,7.332,7.332,7.332,strict,blade,7.332,29.165,7.333,0.894,0.913,0.59,-3.702,19.209,True,RL-alone; the only stress-swept RL set
