controller,heldout_S,heldout_V,heldout_J,travel_x_gspi,heldout_power_mse_red_pct,heldout_gen_speed_mse_red_pct,heldout_TwrBsMyt_DEL_red_pct,heldout_RootMyc1_DEL_red_pct,tower_U12,tower_U14,tower_U16,tower_U18,tower_U20,tower_U22,tower_U24,worst_term,worst_at,diff_handset,diff_handset_lo,diff_handset_hi,diff_s33,diff_s33_lo,diff_s33_hi,arm_run,reference_S,S_after_8,S_after_16,S_after_24,n_candidates,n_beat_reference,n_failed,best_J_sel,best_V_sel,best_travel_sel,p_horizon,p_r,p_qt,p_wc_v,p_tau_adapt,p_adapt,p_qt_ratio,p_v_lo,p_v_span
es_r0,28.16,0.0,28.16,1.939,42.27,46.69,20.32,3.35,61.64,46.68,18.35,7.6,3.97,2.46,1.56,-0.26,blade@18,-1.35,-1.53,-1.17,-0.79,-0.95,-0.64,es_r0,20.026,22.475,22.475,25.958,24,6,0,27.758,0.45,1.993,20,0.38,3.99,0.327,5.49,offset,1.52,19.8,2.28
es_r1,27.09,0.0,27.09,1.449,39.95,43.66,20.13,4.61,58.95,45.99,19.99,9.38,4.75,2.31,-0.46,-0.46,tower@24,-2.42,-2.72,-2.13,-1.86,-2.18,-1.55,es_r1,20.026,23.494,25.967,26.67,24,9,0,26.67,0.0,1.494,20,0.578,2.99,0.382,12.7,offset,1.1,17.8,5.21
llm_r0,26.77,0.408,28.4,1.559,41.99,47.71,18.55,5.35,61.08,45.84,15.8,6.47,2.37,-0.03,-1.7,-3.15,power@12,-1.11,-1.38,-0.83,-0.55,-0.82,-0.27,llm_r0,20.026,24.516,25.427,27.73,24,13,0,28.03,0.075,1.603,15,0.5,4.0,0.3,7.0,offset,1.25,18.0,5.0
llm_r1,27.95,0.097,28.34,1.945,42.31,47.71,19.9,3.42,62.88,47.1,17.82,6.85,3.04,1.39,0.22,-1.68,power@12,-1.17,-1.46,-0.86,-0.62,-0.89,-0.33,llm_r1,20.026,23.917,25.143,25.791,24,12,0,27.691,0.475,2.007,20,0.38,4.4,0.35,5.0,offset,1.3,20.0,4.0
random_r0,25.66,0.962,29.51,1.981,47.3,52.36,15.02,3.37,55.59,40.65,13.54,3.68,0.38,-2.46,-6.27,-6.27,tower@24,0.0,0.0,0.0,0.56,0.43,0.67,random_r0,20.026,20.026,20.026,20.026,24,0,3,28.926,2.225,2.048,20,0.3,3.0,0.35,5.0,offset,1.0,18.0,4.0
random_r1,25.66,0.962,29.51,1.981,47.3,52.36,15.02,3.37,55.59,40.65,13.54,3.68,0.38,-2.46,-6.27,-6.27,tower@24,0.0,0.0,0.0,0.56,0.43,0.67,random_r1,20.026,20.026,20.026,20.026,24,0,4,28.926,2.225,2.048,20,0.3,3.0,0.35,5.0,offset,1.0,18.0,4.0
hand-set reference (unscheduled offset-free),25.66,0.962,29.51,1.981,47.3,52.36,15.02,3.37,55.59,40.65,13.54,3.68,0.38,-2.46,-6.27,-6.27,tower@24,0.0,0.0,0.0,0.56,0.43,0.66,,,,,,,,,,,,,,,,,,,,
hand-designed schedule (s33),28.95,0.0,28.95,2.14,45.71,50.73,16.5,2.87,55.59,40.65,13.54,3.86,1.56,0.24,0.08,-0.75,blade@16,-0.56,-0.67,-0.43,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
nominal MPC,28.49,0.0,28.49,2.013,41.53,46.71,21.5,4.23,58.38,48.41,20.88,11.44,6.77,3.68,0.93,0.0,,-1.02,-1.54,-0.54,-0.46,-1.03,0.07,,,,,,,,,,,,,,,,,,,,
tuned ROSCO,15.24,0.0,15.24,1.148,23.15,28.92,5.32,3.58,7.63,16.55,3.15,4.51,2.09,2.0,1.33,0.0,,-14.27,-14.92,-13.58,-13.71,-14.39,-13.0,,,,,,,,,,,,,,,,,,,,
