run,arm,base,seeds,J,base_J,diff,ci_lo,ci_hi,power_mse_red_pct,gen_speed_mse_red_pct,TwrBsMyt_DEL_red_pct,RootMyc1_DEL_red_pct,travel_x_gspi,worst_per_wind_diff,worst_at
mrwCwG3t_s0,"agent reward, gated",scheduled MPC,s3456,30.6,28.95,1.648,1.406,1.9,48.92,54.26,16.69,2.53,2.729,-1.2,blade@20
mrwCwG3t_s1,"agent reward, gated",scheduled MPC,s3456,31.22,28.95,2.266,1.986,2.55,48.33,53.65,18.54,4.35,2.942,-1.42,power@16
mrwCwG3t_s2,"agent reward, gated",scheduled MPC,s3456,31.1,28.95,2.147,1.924,2.384,49.67,54.99,17.04,2.69,3.137,-1.2,blade@24
mgCwG3t_s0,"fixed reward, gated",scheduled MPC,s3456,31.2,28.95,2.243,1.961,2.531,49.8,55.29,16.19,3.51,3.09,-1.04,tower@20
mgCwG3t_s1,"fixed reward, gated",scheduled MPC,s3456,30.05,28.95,1.096,0.842,1.347,46.9,52.06,17.36,3.86,2.438,-1.33,power@16
trwCwG3t_s0,"agent reward, gated",tuned ROSCO,s3456,19.35,15.24,4.102,3.955,4.256,30.6,36.73,4.86,5.19,1.488,-1.17,tower@20
trwCwG3t_s1,"agent reward, gated",tuned ROSCO,s3456,19.52,15.24,4.275,4.07,4.486,31.34,37.58,4.91,4.24,1.449,-1.49,tower@20
trwCwG3t_s2,"agent reward, gated",tuned ROSCO,s3456,20.04,15.24,4.793,4.576,5.02,31.9,38.15,5.77,4.33,1.436,-0.29,tower@18
mrwCwG3t_s0,"agent reward, gated",scheduled MPC,s78910,31.98,30.46,1.517,1.295,1.752,52.4,58.88,16.83,-0.19,2.688,-1.7,tower@24
mrwCwG3t_s1,"agent reward, gated",scheduled MPC,s78910,32.54,30.46,2.08,1.533,2.631,51.49,57.98,18.86,1.84,2.899,-1.59,tower@18
mrwCwG3t_s2,"agent reward, gated",scheduled MPC,s78910,32.42,30.46,1.959,1.654,2.258,53.04,59.51,17.04,0.1,3.101,-1.97,tower@24
mgCwG3t_s0,"fixed reward, gated",scheduled MPC,s78910,32.24,30.46,1.777,1.537,2.029,53.13,59.5,14.45,1.87,3.059,-5.9,tower@20
mgCwG3t_s1,"fixed reward, gated",scheduled MPC,s78910,31.62,30.46,1.163,0.686,1.653,50.08,56.49,17.91,2.01,2.379,-1.95,power@16
trwCwG3t_s0,"agent reward, gated",tuned ROSCO,s78910,20.14,15.93,4.21,3.948,4.453,32.0,38.5,6.83,3.22,1.45,-1.03,tower@18
trwCwG3t_s1,"agent reward, gated",tuned ROSCO,s78910,20.19,15.93,4.261,3.975,4.546,32.53,39.29,6.77,2.17,1.417,-2.69,tower@18
trwCwG3t_s2,"agent reward, gated",tuned ROSCO,s78910,20.68,15.93,4.755,4.449,5.057,33.16,39.85,7.43,2.29,1.402,-1.4,tower@18
