run,arm,type,episode,F,tier,lambda_load_R2,lambda_load_R3,w_power,w_speed,dbeta_max_R2,dbeta_max_R3
calib8,?,init,0,0.02,strict,1.0,1.0,220.0,20.0,0.05,0.05
calib8,?,eval,16,1.42,strict,1.0,1.0,220.0,20.0,0.05,0.05
ipc_off_s0,guard (blade obj),init,0,-1.08,tol2,1.0,1.0,220.0,20.0,0.05,0.05
ipc_off_s0,guard (blade obj),eval,32,5.42,strict,1.0,1.0,220.0,20.0,0.05,0.05
ipc_off_s0,guard (blade obj),eval,64,7.39,strict,1.0,1.0,220.0,20.0,0.05,0.05
ipc_off_s0,guard (blade obj),eval,96,8.21,strict,1.0,1.0,220.0,20.0,0.05,0.05
ipc_off_s0,guard (blade obj),eval,120,8.16,strict,1.0,1.0,220.0,20.0,0.05,0.05
ipc_off_s0,guard (blade obj),eval,152,9.41,strict,1.0,1.0,220.0,20.0,0.05,0.05
ipc_off_s0,guard (blade obj),eval,184,-42.31,degraded,1.0,1.0,220.0,20.0,0.05,0.05
ipc_off_s0,guard (blade obj),eval,216,9.41,strict,1.0,1.0,220.0,20.0,0.05,0.05
ipc_off_s0,guard (blade obj),eval,240,-29.02,tol2,1.0,1.0,220.0,20.0,0.05,0.05
ipc_off_s0,guard (blade obj),eval,272,8.24,degraded,1.0,1.0,220.0,20.0,0.05,0.05
ipc_off_s0,guard (blade obj),eval,300,9.74,strict,1.0,1.0,220.0,20.0,0.05,0.05
ipc_off_s1,guard (blade obj),init,0,0.0,strict,1.0,1.0,220.0,20.0,0.05,0.05
ipc_off_s1,guard (blade obj),eval,32,5.05,strict,1.0,1.0,220.0,20.0,0.05,0.05
ipc_off_s1,guard (blade obj),eval,64,4.69,strict,1.0,1.0,220.0,20.0,0.05,0.05
ipc_off_s1,guard (blade obj),eval,96,-92.78,degraded,1.0,1.0,220.0,20.0,0.05,0.05
ipc_off_s1,guard (blade obj),eval,120,2.28,tol2,1.0,1.0,220.0,20.0,0.05,0.05
ipc_off_s1,guard (blade obj),eval,152,7.59,strict,1.0,1.0,220.0,20.0,0.05,0.05
ipc_off_s1,guard (blade obj),eval,184,9.5,strict,1.0,1.0,220.0,20.0,0.05,0.05
ipc_off_s1,guard (blade obj),eval,216,-105.85,degraded,1.0,1.0,220.0,20.0,0.05,0.05
ipc_off_s1,guard (blade obj),eval,240,-29.89,degraded,1.0,1.0,220.0,20.0,0.05,0.05
ipc_off_s1,guard (blade obj),eval,272,9.93,strict,1.0,1.0,220.0,20.0,0.05,0.05
ipc_off_s1,guard (blade obj),eval,300,11.84,strict,1.0,1.0,220.0,20.0,0.05,0.05
ipc_off_s2,guard (blade obj),init,0,0.01,strict,1.0,1.0,220.0,20.0,0.05,0.05
ipc_off_s2,guard (blade obj),eval,32,6.32,strict,1.0,1.0,220.0,20.0,0.05,0.05
ipc_off_s2,guard (blade obj),eval,64,8.54,strict,1.0,1.0,220.0,20.0,0.05,0.05
ipc_off_s2,guard (blade obj),eval,96,10.87,strict,1.0,1.0,220.0,20.0,0.05,0.05
