controller,Vave,tower_DEL_eq_MNm,tower_vs_GSPI_pct,tower_equal_mean_pct,blade_DEL_eq_MNm,blade_vs_GSPI_pct,blade_equal_mean_pct,power MSE_DEL_eq_MNm,power MSE_vs_GSPI_pct,power MSE_equal_mean_pct,speed MSE_DEL_eq_MNm,speed MSE_vs_GSPI_pct,speed MSE_equal_mean_pct
tuned ROSCO,10.0,25.7955,11.35,7.86,6.44835,1.45,1.5,0.00427074,7.7,10.44,0.000214966,29.44,28.43
tuned ROSCO,8.5,26.8699,11.53,7.86,6.23518,1.3,1.5,0.00529007,7.21,10.44,0.000206466,29.15,28.43
tuned ROSCO,7.5,27.7277,11.59,7.86,6.07386,1.2,1.5,0.00620609,6.91,10.44,0.000207467,28.63,28.43
scheduled MPC,10.0,17.3429,40.4,22.15,6.65978,-1.78,-0.49,0.00428478,7.4,15.28,0.000175663,42.34,60.94
scheduled MPC,8.5,17.0796,43.77,22.15,6.36435,-0.74,-0.49,0.00534277,6.28,15.28,0.000189982,34.81,60.94
scheduled MPC,7.5,16.9146,46.07,22.15,6.12046,0.44,-0.49,0.00628665,5.7,15.28,0.000205031,29.47,60.94
tuned ROSCO + gated residual (s0),10.0,25.8095,11.3,7.6,6.31948,3.42,3.43,0.00425513,8.04,12.35,0.000200262,34.27,39.03
tuned ROSCO + gated residual (s0),8.5,26.8793,11.5,7.6,6.1377,2.85,3.43,0.00528102,7.37,12.35,0.000198016,32.05,39.03
tuned ROSCO + gated residual (s0),7.5,27.7342,11.57,7.6,6.00324,2.35,3.43,0.00620076,6.99,12.35,0.00020253,30.33,39.03
tuned ROSCO + gated residual (s1),10.0,25.823,11.25,7.58,6.39366,2.28,2.31,0.00425431,8.05,12.51,0.000198784,34.75,40.13
tuned ROSCO + gated residual (s1),8.5,26.891,11.46,7.58,6.19435,1.95,2.31,0.00528075,7.37,12.51,0.000197192,32.34,40.13
tuned ROSCO + gated residual (s1),7.5,27.7433,11.54,7.58,6.04442,1.68,2.31,0.00620073,6.99,12.51,0.000202066,30.49,40.13
tuned ROSCO + gated residual (s2),10.0,25.7929,11.36,8.14,6.38461,2.42,2.44,0.00425313,8.08,12.66,0.000197761,35.09,40.92
tuned ROSCO + gated residual (s2),8.5,26.8716,11.52,8.14,6.18723,2.06,2.44,0.00528013,7.38,12.66,0.000196656,32.52,40.92
tuned ROSCO + gated residual (s2),7.5,27.7305,11.58,8.14,6.03899,1.77,2.44,0.00620043,7.0,12.66,0.000201796,30.58,40.92
scheduled MPC + gated residual (s0),10.0,17.4054,40.18,21.65,6.66453,-1.86,-0.6,0.00426625,7.8,16.21,0.000169028,44.52,64.95
scheduled MPC + gated residual (s0),8.5,17.122,43.63,21.65,6.36867,-0.81,-0.6,0.00532391,6.61,16.21,0.000185952,36.19,64.95
scheduled MPC + gated residual (s0),7.5,16.9454,45.97,21.65,6.12651,0.34,-0.6,0.00626679,6.0,16.21,0.000202673,30.28,64.95
scheduled MPC + gated residual (s1),10.0,17.2882,40.59,23.41,6.48931,0.82,1.67,0.00427029,7.71,16.13,0.000171406,43.74,64.89
scheduled MPC + gated residual (s1),8.5,17.086,43.74,23.41,6.23432,1.32,1.67,0.00532752,6.55,16.13,0.000188231,35.41,64.89
scheduled MPC + gated residual (s1),7.5,16.9461,45.97,23.41,6.02711,1.96,1.67,0.00626973,5.96,16.13,0.000204636,29.61,64.89
scheduled MPC + gated residual (s2),10.0,17.3853,40.25,21.8,6.63963,-1.48,-0.3,0.00426468,7.83,16.33,0.000167743,44.94,65.59
scheduled MPC + gated residual (s2),8.5,17.1112,43.66,21.8,6.34894,-0.5,-0.3,0.00532279,6.63,16.33,0.000185076,36.49,65.59
scheduled MPC + gated residual (s2),7.5,16.9415,45.98,21.8,6.11206,0.58,-0.3,0.00626599,6.01,16.33,0.000202074,30.49,65.59
