row,sup,S3-6,S7-10,x0.95_S3-6,x0.95_S7-10,params
nominal MPC,18.013723832313804,16.836273593561376,18.328088921743934,7.878480684091585,10.29278555332732,
adaptive MPC (reference weights),22.839588154373356,21.08641889587072,22.47467973570521,21.03041716714499,22.223879101471923,
offset-free MPC (search start),22.53052939894218,20.893091501278132,21.70873324701786,21.259151206050344,22.259394384783135,"{""horizon"": 20, ""r"": 0.3, ""qt"": 3.0, ""wc_v"": 0.35, ""tau_adapt"": 5.0, ""adapt"": ""offset""}"
"llm #1 {'horizon': 20, 'r': 0.255, 'qt': 3.25, 'wc_v': 0.38, 'tau_adapt': 5.2, 'adapt': 'rls'}",23.40240883297933,21.370526010001715,22.75369941864256,21.438185418337365,22.746537903204583,"{""horizon"": 20, ""r"": 0.255, ""qt"": 3.25, ""wc_v"": 0.38, ""tau_adapt"": 5.2, ""adapt"": ""rls""}"
"llm #2 {'horizon': 20, 'r': 0.26, 'qt': 3.2, 'wc_v': 0.38, 'tau_adapt': 5.2, 'adapt': 'rls'}",23.356694006095097,21.285417045348336,22.70721474929378,,,"{""horizon"": 20, ""r"": 0.26, ""qt"": 3.2, ""wc_v"": 0.38, ""tau_adapt"": 5.2, ""adapt"": ""rls""}"
"llm #3 {'horizon': 20, 'r': 0.26, 'qt': 3.35, 'wc_v': 0.4, 'tau_adapt': 5.0, 'adapt': 'rls'}",23.354837011039347,21.476407140513587,22.264851513787267,,,"{""horizon"": 20, ""r"": 0.26, ""qt"": 3.35, ""wc_v"": 0.4, ""tau_adapt"": 5.0, ""adapt"": ""rls""}"
"es #1 {'horizon': 20, 'r': 0.249, 'qt': 3.21, 'wc_v': 0.398, 'tau_adapt': 4.18, 'adapt': 'offset'}",22.685297079888986,21.078796316716392,21.96254769253229,21.644688825285947,22.299259362981484,"{""horizon"": 20, ""r"": 0.249, ""qt"": 3.21, ""wc_v"": 0.398, ""tau_adapt"": 4.18, ""adapt"": ""offset""}"
"es #3 {'horizon': 20, 'r': 0.205, 'qt': 2.48, 'wc_v': 0.426, 'tau_adapt': 5.7, 'adapt': 'rls'}",22.476276593019236,20.95448807027096,22.735184218590994,,,"{""horizon"": 20, ""r"": 0.205, ""qt"": 2.48, ""wc_v"": 0.426, ""tau_adapt"": 5.7, ""adapt"": ""rls""}"
"random #2 {'horizon': 20, 'r': 0.19, 'qt': 2.1, 'wc_v': 0.126, 'tau_adapt': 7.79, 'adapt': 'offset'}",15.27005876553347,15.07359494483164,16.933053209350305,,,"{""horizon"": 20, ""r"": 0.19, ""qt"": 2.1, ""wc_v"": 0.126, ""tau_adapt"": 7.79, ""adapt"": ""offset""}"
"random #3 {'horizon': 10, 'r': 0.464, 'qt': 2.31, 'wc_v': 0.595, 'tau_adapt': 24.6, 'adapt': 'rls'}",11.38271585559826,15.283396418257212,14.612638650058361,,,"{""horizon"": 10, ""r"": 0.464, ""qt"": 2.31, ""wc_v"": 0.595, ""tau_adapt"": 24.6, ""adapt"": ""rls""}"
