run,arm,selected_episode,heldout_Cw,heldout_violation_pct,heldout_power_mse_red_pct,heldout_gen_speed_mse_red_pct,heldout_TwrBsMyt_DEL_red_pct,heldout_RootMyc1_DEL_red_pct,heldout_travel_x_tuned,range600_J,range600_diff_tuned,range600_ci_lo,range600_ci_hi,range600_power_mse_red_pct,range600_gen_speed_mse_red_pct,range600_TwrBsMyt_DEL_red_pct,range600_RootMyc1_DEL_red_pct,range600_travel_x_gspi,range600_worst_tower_diff,range600_worst_blade_diff
mrwCwR3t_s0,agent-written reward on the scheduled MPC,280,0.558,0.103,1.66,3.57,-0.15,1.11,1.03,29.72,0.76,0.55,0.97,45.94,52.14,17.38,3.4,2.218,-0.8,-0.31
mrwCwR3t_s1,agent-written reward on the scheduled MPC,280,1.128,0.0,-0.58,2.84,1.11,1.32,1.066,29.25,0.3,0.0,0.58,44.05,51.4,17.85,3.71,2.294,-0.01,-0.09
mrwCwR3t_s2,agent-written reward on the scheduled MPC,256,4.962,0.122,5.55,9.25,0.37,1.03,1.219,30.62,1.67,1.3,2.02,46.42,54.16,18.63,3.28,2.624,0.0,-1.1
mrwCwR3t_s3,agent-written reward on the scheduled MPC,280,0.93,0.135,2.19,5.07,-0.51,1.53,1.139,29.63,0.68,0.33,1.02,45.18,52.27,17.27,3.82,2.448,-1.66,0.0
mrwCwR3t_s4,agent-written reward on the scheduled MPC,168,1.242,0.0,0.3,2.19,1.35,1.3,0.999,29.59,0.64,0.43,0.84,45.14,51.5,18.19,3.52,2.153,0.0,-0.66
mrrCwR3t_s0,random reward structure on the scheduled MPC,224,-0.297,0.204,2.73,4.82,-0.92,0.63,1.087,29.58,0.63,0.43,0.82,46.28,52.52,16.61,2.92,2.341,-0.89,-0.83
mrrCwR3t_s1,random reward structure on the scheduled MPC,224,3.85,0.0,2.89,4.81,0.7,0.43,1.148,29.9,0.95,0.8,1.11,46.6,52.98,17.08,2.96,2.471,-1.03,-1.07
mrrCwR3t_s2,random reward structure on the scheduled MPC,300,5.282,0.0,4.37,6.19,1.44,1.23,1.129,30.67,1.72,1.53,1.93,47.25,53.55,18.15,3.75,2.425,-1.35,-1.05
mgCwR3t_s0,fixed reward (J-tuned) on the scheduled MPC,0,0.618,0.0,-0.16,1.39,0.07,0.14,0.996,29.04,0.09,-0.01,0.18,45.51,51.44,16.52,2.69,2.137,-0.11,-1.36
mgCwR3t_s1,fixed reward (J-tuned) on the scheduled MPC,0,0.589,0.0,-0.21,1.39,0.02,0.17,0.994,29.02,0.06,-0.06,0.19,45.51,51.46,16.48,2.61,2.132,-0.25,-1.75
mgCwR3t_s2,fixed reward (J-tuned) on the scheduled MPC,0,0.632,0.0,-0.18,1.45,0.05,0.17,0.996,29.07,0.12,0.01,0.23,45.53,51.57,16.53,2.63,2.136,-0.19,-1.51
mgCwR3t_s3,fixed reward (J-tuned) on the scheduled MPC,0,0.675,0.0,-0.13,1.48,0.23,0.19,0.996,29.08,0.13,0.03,0.24,45.52,51.5,16.64,2.69,2.138,-0.0,-1.43
mgCwR3t_s4,fixed reward (J-tuned) on the scheduled MPC,0,0.6,0.0,-0.2,1.4,0.15,0.21,0.996,29.05,0.1,-0.01,0.21,45.51,51.45,16.57,2.67,2.135,-0.12,-1.51
