A,B,model,n_episodes,J_A,J_B,diff,ci_lo,ci_hi,p_A_gt_B
knee2 (2.9x GSPI travel),offset-free reference,cp1,24,21.16,21.301,-0.141,-0.681,0.429,0.3059
knee2 (2.9x GSPI travel),offset-free reference,cp0.95,24,21.693,21.759,-0.066,-0.721,0.612,0.4218
knee3 (4.0x),offset-free reference,cp1,24,21.794,21.301,0.493,-0.315,1.287,0.8791
knee1 (2.4x),offset-free reference,cp1,24,18.647,21.301,-2.654,-3.214,-2.066,0.0
knee2 (2.9x GSPI travel),J-selected point,cp1,24,21.16,22.062,-0.902,-1.429,-0.369,0.0006
J-selected point,offset-free reference,cp1,24,22.062,21.301,0.761,0.411,1.138,1.0
offset-free reference,nominal MPC,cp1,24,21.301,17.582,3.719,3.016,4.478,1.0
offset-free reference,nominal MPC,cp0.95,24,21.759,9.086,12.674,11.329,14.054,1.0
adaptive (RLS) reference,offset-free reference,cp1,24,21.781,21.301,0.48,0.239,0.759,1.0
offset-free + 3P notch,offset-free reference,cp1,24,19.716,21.301,-1.585,-1.841,-1.336,0.0
ROSCO + tower damper,nominal MPC,cp1,24,-0.129,17.582,-17.711,-18.696,-16.752,0.0
