kind,duty_deg_per_s,J,label,params
search,1.6337,22.531,llm r=0.3 qt=3,"{""horizon"": 20, ""r"": 0.3, ""qt"": 3.0, ""wc_v"": 0.35, ""tau_adapt"": 5.0, ""adapt"": ""offset""}"
search,2.1323,19.919,llm r=0.2 qt=5,"{""horizon"": 20, ""r"": 0.2, ""qt"": 5.0, ""wc_v"": 0.35, ""tau_adapt"": 5.0, ""adapt"": ""offset""}"
search,1.8132,15.247,llm r=0.3 qt=3,"{""horizon"": 30, ""r"": 0.3, ""qt"": 3.0, ""wc_v"": 0.35, ""tau_adapt"": 5.0, ""adapt"": ""offset""}"
search,0.5721,10.939,llm r=0.5 qt=6,"{""horizon"": 15, ""r"": 0.5, ""qt"": 6.0, ""wc_v"": 0.5, ""tau_adapt"": 5.0, ""adapt"": ""offset""}"
search,1.5837,21.413,llm r=0.3 qt=3,"{""horizon"": 20, ""r"": 0.3, ""qt"": 3.0, ""wc_v"": 0.35, ""tau_adapt"": 10.0, ""adapt"": ""rls""}"
search,2.2076,22.584,llm r=0.2 qt=3.5,"{""horizon"": 20, ""r"": 0.2, ""qt"": 3.5, ""wc_v"": 0.35, ""tau_adapt"": 5.0, ""adapt"": ""offset""}"
search,1.572,20.702,llm r=0.3 qt=4.5,"{""horizon"": 20, ""r"": 0.3, ""qt"": 4.5, ""wc_v"": 0.35, ""tau_adapt"": 5.0, ""adapt"": ""offset""}"
search,1.6594,16.401,llm r=0.3 qt=3,"{""horizon"": 20, ""r"": 0.3, ""qt"": 3.0, ""wc_v"": 0.7, ""tau_adapt"": 5.0, ""adapt"": ""offset""}"
search,1.574,22.84,llm r=0.3 qt=3,"{""horizon"": 20, ""r"": 0.3, ""qt"": 3.0, ""wc_v"": 0.35, ""tau_adapt"": 5.0, ""adapt"": ""rls""}"
search,1.7287,22.361,llm r=0.25 qt=2.5,"{""horizon"": 20, ""r"": 0.25, ""qt"": 2.5, ""wc_v"": 0.35, ""tau_adapt"": 5.0, ""adapt"": ""rls""}"
search,2.1353,22.335,llm r=0.2 qt=4,"{""horizon"": 20, ""r"": 0.2, ""qt"": 4.0, ""wc_v"": 0.35, ""tau_adapt"": 5.0, ""adapt"": ""rls""}"
search,1.6252,22.243,llm r=0.3 qt=3,"{""horizon"": 20, ""r"": 0.3, ""qt"": 3.0, ""wc_v"": 0.5, ""tau_adapt"": 5.0, ""adapt"": ""rls""}"
search,0.5412,-5.823,llm r=0.25 qt=3.5,"{""horizon"": 10, ""r"": 0.25, ""qt"": 3.5, ""wc_v"": 0.35, ""tau_adapt"": 5.0, ""adapt"": ""offset""}"
search,1.6946,23.17,llm r=0.25 qt=3.25,"{""horizon"": 20, ""r"": 0.25, ""qt"": 3.25, ""wc_v"": 0.35, ""tau_adapt"": 5.0, ""adapt"": ""rls""}"
search,1.2786,22.528,llm r=0.35 qt=3.25,"{""horizon"": 20, ""r"": 0.35, ""qt"": 3.25, ""wc_v"": 0.35, ""tau_adapt"": 5.0, ""adapt"": ""rls""}"
search,1.4999,21.995,llm r=0.3 qt=3,"{""horizon"": 20, ""r"": 0.3, ""qt"": 3.0, ""wc_v"": 0.25, ""tau_adapt"": 5.0, ""adapt"": ""rls""}"
search,1.5684,22.336,llm r=0.3 qt=3,"{""horizon"": 20, ""r"": 0.3, ""qt"": 3.0, ""wc_v"": 0.35, ""tau_adapt"": 7.0, ""adapt"": ""rls""}"
