controller,n_episodes,J,power,speed,tower,blade,energy_change_pct,duty_deg_per_s,duty_x_gspi,peak_gen_speed_rel,J_U12,J_U14,J_U16,J_U18,J_U20,J_U22,J_U24
GSPI (identity check),42,0.0,0.0,0.0,0.0,0.0,-0.0,0.4763,1.0,1.1063,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROSCO + tower damper,42,-0.05,-0.28,-0.6,0.47,0.19,-0.002,0.4785,1.005,1.1062,-0.38,0.06,-0.1,-0.08,-0.01,0.04,0.11
tuned ROSCO,42,15.39,23.16,29.22,5.38,3.81,0.118,0.5436,1.141,1.1043,10.36,15.49,16.9,19.06,16.72,15.07,14.16
nominal MPC,42,28.48,42.03,46.89,20.94,4.08,0.234,0.9553,2.006,1.0677,19.86,22.51,19.95,29.07,34.1,36.54,37.35
offset-free MPC,42,29.5,47.59,52.74,14.35,3.32,0.229,0.9396,1.973,1.0577,20.82,21.89,24.42,31.78,34.75,36.15,36.69
J-selected MPC,42,29.76,47.8,53.44,14.81,2.98,0.352,1.0652,2.236,1.0627,22.48,23.06,25.2,32.15,34.46,35.52,35.45
duty knee 3,42,30.28,47.2,54.84,15.44,3.66,0.236,0.9786,2.055,1.0567,22.62,24.18,25.84,32.57,34.39,35.96,36.42
duty knee 2,42,29.66,46.16,53.2,14.6,4.66,0.229,0.7991,1.678,1.0621,22.41,23.31,24.78,31.8,33.89,35.31,36.09
"nominal MPC, Cp/Ct x0.95",42,27.78,43.51,44.97,18.95,3.69,0.467,0.9793,2.056,1.0662,19.21,20.75,19.77,29.05,33.39,35.68,36.62
"offset-free MPC, Cp/Ct x0.95",42,29.5,48.11,53.49,13.34,3.05,0.207,0.9576,2.011,1.0556,20.38,21.37,24.81,32.07,34.93,36.17,36.76
"duty knee 2, Cp/Ct x0.95",42,29.63,46.83,53.95,13.25,4.48,0.208,0.8089,1.698,1.0581,21.65,22.8,24.64,32.24,34.28,35.58,36.2
offset_qt6_cp1,42,27.27,41.03,46.3,19.79,1.97,0.106,1.139,2.391,1.0684,20.48,21.28,19.56,27.66,31.72,34.24,35.99
offset_qt12_cp1,42,18.03,26.9,27.19,18.93,-0.91,-0.082,1.5447,3.243,1.0793,-9.17,10.63,7.25,18.62,24.48,28.45,30.4
offset_qt24_cp1,42,-3.32,-5.07,-12.72,11.73,-7.24,-0.796,2.217,4.655,1.0871,-73.45,-30.3,-18.13,1.44,8.76,14.39,-13.51
knee2_qt11_cp1,42,21.27,30.72,29.49,21.85,3.03,-0.253,1.0764,2.26,1.0709,-29.43,10.68,14.62,26.89,30.42,33.29,34.52
