A,B,n_episodes,J_diff,J_lo,J_hi,power_diff,power_lo,power_hi,speed_diff,speed_lo,speed_hi,tower_diff,tower_lo,tower_hi,blade_diff,blade_lo,blade_hi
offset-free MPC,nominal MPC,42,1.016,0.586,1.448,5.563,4.771,6.342,5.854,5.099,6.595,-6.588,-7.056,-6.133,-0.763,-1.367,-0.17
"offset-free MPC, Cp/Ct x0.95","nominal MPC, Cp/Ct x0.95",42,1.718,1.125,2.314,4.601,3.685,5.501,8.523,7.332,9.662,-5.613,-6.296,-4.908,-0.639,-1.406,0.165
"nominal MPC, Cp/Ct x0.95",nominal MPC,42,-0.703,-1.125,-0.273,1.481,0.703,2.248,-1.917,-2.837,-0.915,-1.987,-2.555,-1.441,-0.389,-0.94,0.183
"offset-free MPC, Cp/Ct x0.95",offset-free MPC,42,-0.001,-0.14,0.143,0.519,0.324,0.756,0.752,0.481,0.983,-1.012,-1.236,-0.783,-0.264,-0.5,-0.041
duty knee 2,offset-free MPC,42,0.156,-0.085,0.395,-1.428,-1.739,-1.129,0.454,-0.268,1.176,0.25,-0.156,0.649,1.346,1.057,1.637
duty knee 3,offset-free MPC,42,0.783,0.539,1.025,-0.395,-0.742,-0.03,2.1,1.413,2.81,1.087,0.591,1.584,0.34,-0.046,0.722
J-selected MPC,offset-free MPC,42,0.259,0.05,0.461,0.21,-0.032,0.472,0.701,0.108,1.254,0.461,-0.039,0.965,-0.336,-0.81,0.119
duty knee 2,J-selected MPC,42,-0.103,-0.388,0.189,-1.637,-1.883,-1.395,-0.247,-1.011,0.686,-0.211,-0.82,0.418,1.682,1.256,2.14
"duty knee 2, Cp/Ct x0.95",duty knee 2,42,-0.028,-0.14,0.079,0.666,0.539,0.793,0.754,0.367,1.004,-1.35,-1.615,-1.082,-0.182,-0.343,-0.016
ROSCO + tower damper,GSPI (identity check),42,-0.053,-0.337,0.214,-0.278,-0.546,-0.035,-0.599,-1.69,0.148,0.471,-0.005,0.841,0.195,-0.467,0.919
