controller,mean_wind,n,J,power,speed,tower,blade,duty_x_gspi
GSPI (identity check),12.0,6,0.0,0.0,0.0,0.0,0.0,1.0
GSPI (identity check),14.0,6,0.0,0.0,0.0,0.0,0.0,1.0
GSPI (identity check),16.0,6,0.0,0.0,0.0,0.0,0.0,1.0
GSPI (identity check),18.0,6,0.0,0.0,0.0,0.0,0.0,1.0
GSPI (identity check),20.0,6,0.0,0.0,0.0,0.0,0.0,1.0
GSPI (identity check),22.0,6,0.0,0.0,0.0,0.0,0.0,1.0
GSPI (identity check),24.0,6,0.0,0.0,0.0,0.0,0.0,1.0
ROSCO + tower damper,12.0,6,-0.38,-0.68,-2.48,-0.17,1.78,1.019
ROSCO + tower damper,14.0,6,0.06,-0.06,-0.37,0.85,-0.19,1.001
ROSCO + tower damper,16.0,6,-0.1,-0.33,-0.46,0.47,-0.09,1.003
ROSCO + tower damper,18.0,6,-0.08,-0.3,-0.3,0.38,-0.1,1.003
ROSCO + tower damper,20.0,6,-0.01,-0.22,-0.22,0.48,-0.05,1.002
ROSCO + tower damper,22.0,6,0.04,-0.19,-0.18,0.56,-0.03,1.002
ROSCO + tower damper,24.0,6,0.11,-0.18,-0.17,0.74,0.04,1.001
tuned ROSCO,12.0,6,10.36,2.41,19.75,9.06,10.21,1.124
tuned ROSCO,14.0,6,15.49,9.56,34.35,15.02,3.02,1.096
tuned ROSCO,16.0,6,16.9,27.42,35.04,3.59,1.54,1.168
tuned ROSCO,18.0,6,19.06,36.01,32.82,3.77,3.63,1.18
tuned ROSCO,20.0,6,16.72,32.11,29.74,1.91,3.1,1.174
tuned ROSCO,22.0,6,15.07,28.37,27.32,2.11,2.47,1.141
tuned ROSCO,24.0,6,14.16,26.22,25.5,2.17,2.73,1.115
nominal MPC,12.0,6,19.86,3.1,1.61,58.83,15.9,1.518
nominal MPC,14.0,6,22.51,8.36,26.83,48.34,6.49,1.203
nominal MPC,16.0,6,19.95,20.71,37.39,19.99,1.72,1.678
nominal MPC,18.0,6,29.07,50.92,53.65,10.15,1.55,2.066
nominal MPC,20.0,6,34.1,65.55,64.26,5.51,1.09,2.407
nominal MPC,22.0,6,36.54,71.35,70.69,2.88,1.25,2.698
nominal MPC,24.0,6,37.35,74.2,73.78,0.85,0.55,2.983
offset-free MPC,12.0,6,20.82,1.98,8.18,55.33,17.78,1.486
offset-free MPC,14.0,6,21.89,9.14,32.51,41.0,4.92,1.185
offset-free MPC,16.0,6,24.42,36.81,48.33,12.82,-0.27,1.64
offset-free MPC,18.0,6,31.78,63.33,60.88,2.5,0.39,2.027
offset-free MPC,20.0,6,34.75,70.64,69.06,-0.94,0.23,2.364
offset-free MPC,22.0,6,36.15,74.58,73.98,-4.09,0.13,2.658
offset-free MPC,24.0,6,36.69,76.65,76.25,-6.17,0.03,2.959
J-selected MPC,12.0,6,22.48,1.93,10.04,60.25,17.68,1.598
J-selected MPC,14.0,6,23.06,9.16,33.95,44.24,4.87,1.289
J-selected MPC,16.0,6,25.2,37.53,49.7,13.71,-0.15,1.848
J-selected MPC,18.0,6,32.15,64.91,61.89,1.9,-0.11,2.293
J-selected MPC,20.0,6,34.46,70.85,69.3,-2.31,-0.0,2.707
J-selected MPC,22.0,6,35.52,74.2,73.6,-5.39,-0.34,3.096
J-selected MPC,24.0,6,35.45,76.02,75.61,-8.73,-1.09,3.45
duty knee 3,12.0,6,22.62,-2.78,11.95,61.59,19.71,1.531
duty knee 3,14.0,6,24.18,7.68,38.11,45.27,5.66,1.164
duty knee 3,16.0,6,25.84,37.69,51.83,13.25,0.59,1.692
duty knee 3,18.0,6,32.57,65.43,62.21,1.97,0.69,2.123
duty knee 3,20.0,6,34.39,70.89,69.34,-2.49,-0.19,2.498
duty knee 3,22.0,6,35.96,74.71,74.1,-4.66,-0.31,2.82
duty knee 3,24.0,6,36.42,76.76,76.36,-6.88,-0.58,3.119
duty knee 2,12.0,6,22.41,-1.93,12.21,58.96,20.41,1.205
duty knee 2,14.0,6,23.31,7.67,35.62,43.84,6.1,0.985
duty knee 2,16.0,6,24.78,35.67,48.73,12.99,1.72,1.388
duty knee 2,18.0,6,31.8,63.14,59.9,2.23,1.93,1.729
duty knee 2,20.0,6,33.89,69.33,67.7,-2.42,0.95,2.036
duty knee 2,22.0,6,35.31,73.45,72.82,-5.55,0.52,2.307
duty knee 2,24.0,6,36.09,75.81,75.4,-7.85,1.0,2.554
"nominal MPC, Cp/Ct x0.95",12.0,6,19.21,4.59,-1.45,57.53,16.16,1.449
"nominal MPC, Cp/Ct x0.95",14.0,6,20.75,11.79,21.31,46.43,3.45,1.233
"nominal MPC, Cp/Ct x0.95",16.0,6,19.77,25.34,35.23,16.27,2.22,1.755
"nominal MPC, Cp/Ct x0.95",18.0,6,29.05,53.16,52.64,8.5,1.88,2.139
"nominal MPC, Cp/Ct x0.95",20.0,6,33.39,64.97,63.47,3.74,1.37,2.498
"nominal MPC, Cp/Ct x0.95",22.0,6,35.68,70.76,70.07,1.29,0.61,2.801
"nominal MPC, Cp/Ct x0.95",24.0,6,36.62,73.95,73.52,-1.13,0.14,3.062
"offset-free MPC, Cp/Ct x0.95",12.0,6,20.38,2.48,7.84,53.89,17.3,1.443
"offset-free MPC, Cp/Ct x0.95",14.0,6,21.37,8.87,33.0,39.15,4.44,1.208
"offset-free MPC, Cp/Ct x0.95",16.0,6,24.81,37.35,49.83,11.8,0.25,1.672
"offset-free MPC, Cp/Ct x0.95",18.0,6,32.07,64.06,62.27,2.01,-0.07,2.072
"offset-free MPC, Cp/Ct x0.95",20.0,6,34.93,71.57,70.06,-1.75,-0.16,2.424
"offset-free MPC, Cp/Ct x0.95",22.0,6,36.17,75.22,74.63,-5.08,-0.09,2.74
"offset-free MPC, Cp/Ct x0.95",24.0,6,36.76,77.21,76.82,-6.66,-0.31,3.051
"duty knee 2, Cp/Ct x0.95",12.0,6,21.65,-1.65,11.28,57.18,19.8,1.163
"duty knee 2, Cp/Ct x0.95",14.0,6,22.8,7.89,35.99,41.52,5.8,1.001
"duty knee 2, Cp/Ct x0.95",16.0,6,24.64,36.07,50.21,11.19,1.11,1.406
"duty knee 2, Cp/Ct x0.95",18.0,6,32.24,64.33,61.59,0.95,2.09,1.755
"duty knee 2, Cp/Ct x0.95",20.0,6,34.28,70.45,68.86,-3.19,0.99,2.074
"duty knee 2, Cp/Ct x0.95",22.0,6,35.58,74.27,73.66,-6.3,0.69,2.353
"duty knee 2, Cp/Ct x0.95",24.0,6,36.2,76.45,76.05,-8.6,0.88,2.615
offset_qt6_cp1,12.0,6,20.48,-3.46,2.68,64.98,17.71,1.745
