run,arm,selected_episode,heldout_Cw,heldout_violation_pct,heldout_power_mse_red_pct,heldout_gen_speed_mse_red_pct,heldout_TwrBsMyt_DEL_red_pct,heldout_RootMyc1_DEL_red_pct,heldout_travel_x_tuned,range600_J,range600_diff_tuned,range600_ci_lo,range600_ci_hi,range600_power_mse_red_pct,range600_gen_speed_mse_red_pct,range600_TwrBsMyt_DEL_red_pct,range600_RootMyc1_DEL_red_pct,range600_travel_x_gspi,range600_worst_tower_diff,range600_worst_blade_diff
trwCwR3t_s0,agent-written reward,224,1.125,0.0,0.73,1.52,2.6,1.31,1.13,16.8,1.55,1.41,1.69,23.6,30.39,8.36,4.83,1.29,-0.75,0.0
trwCwR3t_s1,agent-written reward,280,6.223,0.121,6.94,10.33,3.59,2.34,1.339,20.28,5.04,4.47,5.57,28.01,36.39,10.95,5.79,1.528,-0.39,0.0
trwCwR3t_s2,agent-written reward,256,7.073,0.163,8.76,11.91,1.32,1.25,1.213,19.62,4.37,4.12,4.61,29.42,36.94,7.57,4.54,1.381,-0.87,0.0
trwCwR3t_s3,agent-written reward,200,5.794,0.0,4.36,7.23,7.51,2.73,1.246,20.12,4.88,4.55,5.24,26.36,34.15,13.46,6.51,1.424,0.0,0.0
trwCwR3t_s4,agent-written reward,300,-2.504,0.61,7.71,11.67,0.68,2.1,1.411,19.51,4.26,3.88,4.68,28.2,36.77,7.4,5.66,1.607,-4.01,0.0
tgCwR3L10_s0,"fixed reward, tower weight 10",64,-27.875,1.535,2.98,2.68,-1.2,0.68,1.081,16.12,0.88,0.7,1.06,25.18,30.7,4.36,4.26,1.237,-4.65,-1.94
tgCwR3L10_s1,"fixed reward, tower weight 10",64,-7.942,0.67,4.68,6.22,-0.41,0.59,1.062,16.86,1.62,1.28,1.91,26.28,32.56,4.97,3.65,1.219,-2.98,-4.2
tgCwR3L10_s2,"fixed reward, tower weight 10",152,-3.665,0.384,3.23,4.81,0.59,0.21,1.042,16.41,1.17,0.88,1.42,25.24,31.87,5.28,3.25,1.193,-4.24,-4.84
tgCwR3L10_s3,"fixed reward, tower weight 10",216,-17.156,0.939,1.19,2.04,-1.29,-0.25,1.08,15.22,-0.03,-0.15,0.08,23.81,30.06,4.19,2.81,1.236,-3.79,-4.67
tgCwR3L10_s4,"fixed reward, tower weight 10",300,-37.289,2.16,6.08,5.75,-1.38,0.02,1.135,17.29,2.04,1.9,2.2,27.45,33.18,4.56,3.98,1.294,-4.32,-1.98
tgCwR3t_s0,"fixed reward, J-tuned weights",64,-35.663,1.936,3.25,2.86,-1.62,0.7,1.098,16.17,0.93,0.76,1.09,25.31,30.94,4.23,4.22,1.255,-5.28,-2.73
tgCwR3t_s1,"fixed reward, J-tuned weights",96,0.783,0.461,9.11,10.89,-0.04,1.42,1.154,18.94,3.7,3.45,3.95,29.51,35.86,5.42,4.98,1.318,-2.25,-1.2
tgCwR3t_s2,"fixed reward, J-tuned weights",152,-4.536,0.429,3.07,5.02,0.46,0.26,1.06,16.35,1.11,0.73,1.46,25.05,32.01,5.09,3.26,1.214,-4.12,-4.81
trrCwR3t_s0,random reward structure,280,-9.745,0.907,8.61,8.18,-0.51,2.59,1.439,19.16,3.92,3.64,4.2,29.19,35.16,5.85,6.45,1.638,-3.93,0.0
trrCwR3t_s1,random reward structure,280,-12.31,0.96,5.54,8.24,0.47,2.86,1.358,19.11,3.86,3.36,4.38,26.65,34.39,9.33,6.07,1.537,-2.88,0.0
trrCwR3t_s2,random reward structure,200,6.274,0.0,4.95,7.6,2.22,0.7,1.071,17.96,2.71,2.49,2.93,26.54,33.99,7.38,3.92,1.226,0.0,-2.0
