kind,run,arm,label,seed,J_train_S1S2,J_S3-S6,P_S3-S6,w_S3-S6,T_S3-S6,B_S3-S6,E_S3-S6,F_S3-S6,J_S7-S10,P_S7-S10,w_S7-S10,T_S7-S10,B_S7-S10,E_S7-S10,F_S7-S10,n,comparison,wind_set,mean_diff,wins,exact_p,paired_t_p,diffs
run,jg3t_s0,jg3t,guard-v3 tuned default,0,5.705,4.995,18.7,20.4,-20.59,1.46,-0.021,-20.586,5.926,20.9,26.73,-22.1,-1.82,-0.026,-22.105,,,,,,,,
run,jg3t_s1,jg3t,guard-v3 tuned default,1,7.51,4.089,16.2,15.72,-15.29,-0.28,-0.013,-15.291,5.868,17.48,22.68,-15.73,-0.96,-0.023,-15.727,,,,,,,,
run,jg3t_s2,jg3t,guard-v3 tuned default,2,11.448,8.194,19.77,27.06,-16.02,1.97,-0.031,-16.021,8.627,21.92,32.76,-18.95,-1.22,-0.036,-18.953,,,,,,,,
run,jrw3t_s0,jrw3t,"llm_reward (v3, tuned)",0,13.189,5.664,8.24,10.28,2.55,1.59,0.177,2.547,7.822,9.94,18.0,3.31,0.03,0.13,3.31,,,,,,,,
run,jrw3t_s1,jrw3t,"llm_reward (v3, tuned)",1,14.864,10.248,10.53,18.74,7.82,3.91,0.095,7.816,10.592,10.99,24.73,5.67,0.97,0.067,5.67,,,,,,,,
run,jrw3t_s2,jrw3t,"llm_reward (v3, tuned)",2,11.33,8.997,9.18,18.08,2.63,6.1,0.085,2.632,9.092,9.28,21.66,2.0,3.43,0.064,1.995,,,,,,,,
run,jrwF3t_s0,jrwF3t,jrwF3t,0,11.433,7.757,7.87,12.76,6.86,3.53,0.1,6.861,9.818,9.35,19.37,7.55,3.0,0.075,7.548,,,,,,,,
run,jrwF3t_s1,jrwF3t,jrwF3t,1,13.12,9.144,11.29,18.03,4.67,2.59,0.049,4.67,10.301,12.25,24.83,3.61,0.52,0.028,3.605,,,,,,,,
run,jrwF3t_s2,jrwF3t,jrwF3t,2,9.622,8.824,10.79,18.94,-1.08,6.64,0.052,-1.077,9.564,11.61,21.94,0.9,3.79,0.045,0.904,,,,,,,,
run,jrwO3t_s0,jrwO3t,jrwO3t,0,11.437,7.985,15.78,19.32,-3.66,0.5,0.029,-3.665,9.428,18.22,23.76,-3.32,-0.95,0.009,-3.319,,,,,,,,
run,jrwO3t_s1,jrwO3t,jrwO3t,1,6.665,3.433,15.68,14.3,-13.56,-2.69,0.099,-13.557,4.214,19.67,18.39,-15.9,-5.3,0.07,-15.9,,,,,,,,
run,jrwO3t_s2,jrwO3t,jrwO3t,2,8.269,2.691,11.86,8.27,-8.54,-0.83,0.128,-8.54,4.79,14.09,14.86,-9.04,-0.75,0.084,-9.04,,,,,,,,
arm,,jg3t,guard-v3 tuned default,,8.22±2.40,5.76±1.76,18.2,21.1,-17.3,1.1,,,6.81±1.29,,,,,,,3,,,,,,,
arm,,jrw3t,"llm_reward (v3, tuned)",,13.13±1.44,8.30±1.93,9.3,15.7,4.3,3.9,,,9.17±1.13,,,,,,,3,,,,,,,
arm,,jrwF3t,jrwF3t,,11.39±1.43,8.58±0.59,10.0,16.6,3.5,4.3,,,9.89±0.31,,,,,,,3,,,,,,,
arm,,jrwO3t,jrwO3t,,8.79±1.98,4.70±2.34,14.4,14.0,-8.6,-1.0,,,6.14±2.33,,,,,,,3,,,,,,,
paired,,,,,,,,,,,,,,,,,,,,3,jrw3t - jg3t,S3-S6,2.544,3,0.25,0.2947,0.67 6.16 0.80
paired,,,,,,,,,,,,,,,,,,,,3,jrw3t - jg3t,S7-S10,2.361,3,0.25,0.1997,1.90 4.72 0.46
paired,,,,,,,,,,,,,,,,,,,,3,jrwF3t - jg3t,S3-S6,2.816,3,0.25,0.1584,2.76 5.06 0.63
paired,,,,,,,,,,,,,,,,,,,,3,jrwF3t - jg3t,S7-S10,3.087,3,0.25,0.1047,3.89 4.43 0.94
paired,,,,,,,,,,,,,,,,,,,,3,jrwO3t - jg3t,S3-S6,-1.056,1,0.75,0.7095,2.99 -0.66 -5.50
paired,,,,,,,,,,,,,,,,,,,,3,jrwO3t - jg3t,S7-S10,-0.663,1,0.75,0.7893,3.50 -1.65 -3.84
