kind,run,arm,label,seed,J_train_S1S2,J_S3-S6,P_S3-S6,w_S3-S6,T_S3-S6,B_S3-S6,E_S3-S6,F_S3-S6,J_S7-S10,P_S7-S10,w_S7-S10,T_S7-S10,B_S7-S10,E_S7-S10,F_S7-S10,n,comparison,wind_set,mean_diff,wins,exact_p,paired_t_p,diffs
run,jg3t_s0,jg3t,guard-v3 tuned default,0,5.705,4.995,18.7,20.4,-20.59,1.46,-0.021,-20.586,5.926,20.9,26.73,-22.1,-1.82,-0.026,-22.105,,,,,,,,
run,jg3t_s1,jg3t,guard-v3 tuned default,1,7.51,4.089,16.2,15.72,-15.29,-0.28,-0.013,-15.291,5.868,17.48,22.68,-15.73,-0.96,-0.023,-15.727,,,,,,,,
run,jg3t_s2,jg3t,guard-v3 tuned default,2,11.448,8.194,19.77,27.06,-16.02,1.97,-0.031,-16.021,8.627,21.92,32.76,-18.95,-1.22,-0.036,-18.953,,,,,,,,
run,jhp3t_s0,jhp3t,"llm_hparam (v3, tuned)",0,8.536,6.797,18.1,22.22,-14.83,1.69,-0.015,-14.827,10.685,24.25,32.21,-12.18,-1.54,-0.029,-12.179,,,,,,,,
run,jhp3t_s1,jhp3t,"llm_hparam (v3, tuned)",1,10.241,7.097,18.48,26.72,-19.22,2.41,-0.034,-19.224,7.479,22.06,34.03,-25.46,-0.72,-0.037,-25.46,,,,,,,,
run,jhp3t_s2,jhp3t,"llm_hparam (v3, tuned)",2,6.288,1.877,14.86,13.22,-20.18,-0.39,0.004,-20.18,3.24,20.99,16.18,-21.42,-2.8,-0.014,-21.415,,,,,,,,
run,jrhp3t_s0,jrhp3t,"random_hparam (v3, tuned)",0,7.797,5.703,18.27,16.88,-12.99,0.65,0.003,-12.988,7.204,21.46,19.77,-13.37,0.95,-0.014,-13.372,,,,,,,,
run,jrhp3t_s1,jrhp3t,"random_hparam (v3, tuned)",1,8.212,6.919,19.68,24.05,-18.14,2.08,-0.028,-18.138,7.769,20.84,30.24,-18.91,-1.09,-0.031,-18.911,,,,,,,,
run,jrhp3t_s2,jrhp3t,"random_hparam (v3, tuned)",2,8.407,2.161,7.4,10.13,-8.45,-0.44,-0.024,-8.447,2.905,7.32,15.01,-8.83,-1.88,-0.023,-8.829,,,,,,,,
run,jrw3t_s0,jrw3t,"llm_reward (v3, tuned)",0,13.189,5.664,8.24,10.28,2.55,1.59,0.177,2.547,7.822,9.94,18.0,3.31,0.03,0.13,3.31,,,,,,,,
run,jrw3t_s1,jrw3t,"llm_reward (v3, tuned)",1,14.864,10.248,10.53,18.74,7.82,3.91,0.095,7.816,10.592,10.99,24.73,5.67,0.97,0.067,5.67,,,,,,,,
run,jrw3t_s2,jrw3t,"llm_reward (v3, tuned)",2,11.33,8.997,9.18,18.08,2.63,6.1,0.085,2.632,9.092,9.28,21.66,2.0,3.43,0.064,1.995,,,,,,,,
run,jcb3t_s0,jcb3t,"llm_combo (hparams + reward, v3, tuned)",0,8.241,5.166,16.57,15.04,-10.67,-0.29,0.005,-10.666,7.066,18.86,19.67,-11.05,0.79,-0.013,-11.049,,,,,,,,
run,jcb3t_s1,jcb3t,"llm_combo (hparams + reward, v3, tuned)",1,9.412,9.022,17.68,22.64,-6.58,2.35,-0.009,-6.58,9.634,19.11,27.25,-8.18,0.35,-0.021,-8.176,,,,,,,,
run,jcb3t_s2,jcb3t,"llm_combo (hparams + reward, v3, tuned)",2,7.138,4.65,13.49,11.58,-7.04,0.57,0.01,-7.042,7.523,16.11,17.72,-6.5,2.76,-0.011,-6.497,,,,,,,,
arm,,jg3t,guard-v3 tuned default,,8.22±2.40,5.76±1.76,18.2,21.1,-17.3,1.1,,,6.81±1.29,,,,,,,3,,,,,,,
arm,,jhp3t,"llm_hparam (v3, tuned)",,8.35±1.62,5.26±2.39,17.1,20.7,-18.1,1.2,,,7.13±3.05,,,,,,,3,,,,,,,
arm,,jrhp3t,"random_hparam (v3, tuned)",,8.14±0.25,4.93±2.02,15.1,17.0,-13.2,0.8,,,5.96±2.17,,,,,,,3,,,,,,,
arm,,jrw3t,"llm_reward (v3, tuned)",,13.13±1.44,8.30±1.93,9.3,15.7,4.3,3.9,,,9.17±1.13,,,,,,,3,,,,,,,
arm,,jcb3t,"llm_combo (hparams + reward, v3, tuned)",,8.26±0.93,6.28±1.95,15.9,16.4,-8.1,0.9,,,8.07±1.12,,,,,,,3,,,,,,,
paired,,,,,,,,,,,,,,,,,,,,3,jhp3t - jg3t,S3-S6,-0.502,2,1.0,0.8796,1.80 3.01 -6.32
paired,,,,,,,,,,,,,,,,,,,,3,jhp3t - jg3t,S7-S10,0.327,2,1.0,0.923,4.76 1.61 -5.39
paired,,,,,,,,,,,,,,,,,,,,3,jrhp3t - jg3t,S3-S6,-0.832,2,1.0,0.7851,0.71 2.83 -6.03
paired,,,,,,,,,,,,,,,,,,,,3,jrhp3t - jg3t,S7-S10,-0.848,2,1.0,0.7617,1.28 1.90 -5.72
paired,,,,,,,,,,,,,,,,,,,,3,jrw3t - jg3t,S3-S6,2.544,3,0.25,0.2947,0.67 6.16 0.80
paired,,,,,,,,,,,,,,,,,,,,3,jrw3t - jg3t,S7-S10,2.361,3,0.25,0.1997,1.90 4.72 0.46
paired,,,,,,,,,,,,,,,,,,,,3,jcb3t - jg3t,S3-S6,0.52,2,0.75,0.8518,0.17 4.93 -3.54
paired,,,,,,,,,,,,,,,,,,,,3,jcb3t - jg3t,S7-S10,1.267,2,0.5,0.463,1.14 3.77 -1.10
