kind,run,arm,label,seed,J_train_S1S2,J_S3-S6,P_S3-S6,w_S3-S6,T_S3-S6,B_S3-S6,E_S3-S6,F_S3-S6,J_S7-S10,P_S7-S10,w_S7-S10,T_S7-S10,B_S7-S10,E_S7-S10,F_S7-S10,n,comparison,wind_set,mean_diff,wins,exact_p,paired_t_p,diffs
run,mg3t_s0,mg3t,mg3t,0,21.754,17.616,14.54,26.4,23.15,6.37,-0.107,23.155,19.581,19.8,32.78,25.0,0.74,-0.148,25.002,,,,,,,,
run,mg3t_s1,mg3t,mg3t,1,20.361,16.467,10.87,22.2,24.86,7.93,-0.078,24.862,16.992,14.78,27.58,26.15,-0.54,-0.095,26.155,,,,,,,,
run,mg3t_s2,mg3t,mg3t,2,20.574,15.715,10.98,22.29,24.58,5.0,-0.077,24.585,17.614,14.85,27.6,27.63,0.38,-0.097,27.628,,,,,,,,
run,mrw3t_s0,mrw3t,mrw3t,0,20.523,15.734,10.9,22.22,24.59,5.23,-0.081,24.586,17.46,14.77,27.54,27.48,0.05,-0.099,27.483,,,,,,,,
run,mrw3t_s1,mrw3t,mrw3t,1,20.383,17.062,11.96,23.24,24.32,8.73,-0.052,24.32,19.071,17.5,30.56,26.29,1.94,-0.056,26.293,,,,,,,,
run,mrw3t_s2,mrw3t,mrw3t,2,21.64,18.907,17.38,28.67,22.02,7.56,-0.095,22.023,19.985,23.15,34.9,22.17,-0.28,-0.114,22.168,,,,,,,,
run,mgC3t_s0,mgC3t,mgC3t,0,13.351,14.335,20.94,30.09,2.81,3.5,-0.108,2.807,14.642,20.81,30.04,4.23,3.49,-0.092,4.231,,,,,,,,
run,mgC3t_s1,mgC3t,mgC3t,1,13.499,13.105,16.04,24.81,5.9,5.67,-0.079,5.904,16.261,20.81,30.17,9.68,4.39,-0.039,9.675,,,,,,,,
run,mgC3t_s2,mgC3t,mgC3t,2,15.512,15.084,18.92,27.83,11.38,2.21,-0.094,11.378,15.138,19.51,29.25,11.66,0.14,-0.073,11.656,,,,,,,,
run,mrwC3t_s0,mrwC3t,mrwC3t,0,19.588,5.574,1.25,10.67,6.11,4.26,-0.052,0.922,20.48,24.89,34.53,20.62,1.88,-0.109,20.625,,,,,,,,
run,mrwC3t_s1,mrwC3t,mrwC3t,1,19.399,17.553,20.72,31.81,11.86,5.82,-0.057,11.861,19.536,25.84,37.55,14.37,0.39,-0.085,14.365,,,,,,,,
run,mrwC3t_s2,mrwC3t,mrwC3t,2,14.627,14.863,17.09,25.66,9.79,6.91,-0.129,9.786,14.724,17.56,26.07,11.37,3.89,-0.115,11.371,,,,,,,,
arm,,mg3t,mg3t,,20.90±0.61,16.60±0.78,12.1,23.6,24.2,6.4,,,18.06±1.10,,,,,,,3,,,,,,,
arm,,mrw3t,mrw3t,,20.85±0.56,17.23±1.30,13.4,24.7,23.6,7.2,,,18.84±1.04,,,,,,,3,,,,,,,
arm,,mgC3t,mgC3t,,14.12±0.99,14.17±0.82,18.6,27.6,6.7,3.8,,,15.35±0.68,,,,,,,3,,,,,,,
arm,,mrwC3t,mrwC3t,,17.87±2.30,12.66±5.13,13.0,22.7,9.3,5.7,,,18.25±2.52,,,,,,,3,,,,,,,
paired,,,,,,,,,,,,,,,,,,,,3,mrw3t - mg3t,S3-S6,0.635,2,0.75,0.7069,-1.88 0.60 3.19
paired,,,,,,,,,,,,,,,,,,,,3,mrw3t - mg3t,S7-S10,0.777,2,0.75,0.6461,-2.12 2.08 2.37
paired,,,,,,,,,,,,,,,,,,,,3,mgC3t - mg3t,S3-S6,-2.425,0,0.25,0.114,-3.28 -3.36 -0.63
paired,,,,,,,,,,,,,,,,,,,,3,mgC3t - mg3t,S7-S10,-2.715,0,0.25,0.156,-4.94 -0.73 -2.48
paired,,,,,,,,,,,,,,,,,,,,3,mrwC3t - mg3t,S3-S6,-3.936,1,0.75,0.4376,-12.04 1.09 -0.85
paired,,,,,,,,,,,,,,,,,,,,3,mrwC3t - mg3t,S7-S10,0.185,2,1.0,0.9191,0.90 2.54 -2.89
