kind,run,arm,label,seed,J_train_S1S2,J_S3-S6,P_S3-S6,w_S3-S6,T_S3-S6,B_S3-S6,E_S3-S6,F_S3-S6,J_S7-S10,P_S7-S10,w_S7-S10,T_S7-S10,B_S7-S10,E_S7-S10,F_S7-S10,n,comparison,wind_set,mean_diff,wins,exact_p,paired_t_p,diffs
run,jg3t_s0,jg3t,guard-v3 tuned default,0,5.705,4.995,18.7,20.4,-20.59,1.46,-0.021,-20.586,5.926,20.9,26.73,-22.1,-1.82,-0.026,-22.105,,,,,,,,
run,jg3t_s1,jg3t,guard-v3 tuned default,1,7.51,4.089,16.2,15.72,-15.29,-0.28,-0.013,-15.291,5.868,17.48,22.68,-15.73,-0.96,-0.023,-15.727,,,,,,,,
run,jg3t_s2,jg3t,guard-v3 tuned default,2,11.448,8.194,19.77,27.06,-16.02,1.97,-0.031,-16.021,8.627,21.92,32.76,-18.95,-1.22,-0.036,-18.953,,,,,,,,
run,jg3t_s3,jg3t,guard-v3 tuned default,3,7.419,6.879,18.54,25.89,-19.24,2.34,-0.03,-19.245,4.978,18.27,28.6,-24.41,-2.55,-0.027,-24.411,,,,,,,,
run,jg3t_s4,jg3t,guard-v3 tuned default,4,3.154,0.131,13.58,6.07,-17.03,-2.1,0.014,-17.03,2.118,14.71,9.05,-17.32,2.03,0.002,-17.316,,,,,,,,
run,jrw3t_s0,jrw3t,"llm_reward (v3, tuned)",0,13.189,5.664,8.24,10.28,2.55,1.59,0.177,2.547,7.822,9.94,18.0,3.31,0.03,0.13,3.31,,,,,,,,
run,jrw3t_s1,jrw3t,"llm_reward (v3, tuned)",1,14.864,10.248,10.53,18.74,7.82,3.91,0.095,7.816,10.592,10.99,24.73,5.67,0.97,0.067,5.67,,,,,,,,
run,jrw3t_s2,jrw3t,"llm_reward (v3, tuned)",2,11.33,8.997,9.18,18.08,2.63,6.1,0.085,2.632,9.092,9.28,21.66,2.0,3.43,0.064,1.995,,,,,,,,
run,jrw3t_s3,jrw3t,"llm_reward (v3, tuned)",3,3.921,2.753,12.0,9.46,-11.74,1.29,0.026,-11.736,3.982,14.24,13.03,-13.79,2.45,0.007,-13.793,,,,,,,,
run,jrw3t_s4,jrw3t,"llm_reward (v3, tuned)",4,3.502,-1.185,-5.77,-6.28,6.48,0.83,0.197,-13.908,-1.305,-7.18,-2.86,6.8,-1.97,0.135,6.795,,,,,,,,
arm,,jg3t,guard-v3 tuned default,,7.05±2.71,4.86±2.76,17.4,19.0,-17.6,0.7,,,5.50±2.09,,,,,,,5,,,,,,,
arm,,jrw3t,"llm_reward (v3, tuned)",,9.36±4.75,5.30±4.17,6.8,10.1,1.5,2.7,,,6.04±4.28,,,,,,,5,,,,,,,
paired,,,,,,,,,,,,,,,,,,,,5,jrw3t - jg3t,S3-S6,0.438,3,0.75,0.8079,0.67 6.16 0.80 -4.13 -1.32
paired,,,,,,,,,,,,,,,,,,,,5,jrw3t - jg3t,S7-S10,0.533,3,0.6875,0.7165,1.90 4.72 0.46 -1.00 -3.42
