kind,run,arm,label,seed,J_train_S1S2,J_S3-S6,P_S3-S6,w_S3-S6,T_S3-S6,B_S3-S6,E_S3-S6,F_S3-S6,J_S7-S10,P_S7-S10,w_S7-S10,T_S7-S10,B_S7-S10,E_S7-S10,F_S7-S10,n,comparison,wind_set,mean_diff,wins,exact_p,paired_t_p,diffs
run,jg2_s0,jg2,"guard-v2 (fixed hparams, reward v2)",0,5.809,2.806,-2.49,3.09,8.46,2.16,0.148,8.457,2.862,-3.54,5.6,8.05,1.34,0.116,8.049,,,,,,,,
run,jg2_s1,jg2,"guard-v2 (fixed hparams, reward v2)",1,1.765,0.792,-9.24,-2.49,11.36,3.54,0.208,11.355,0.377,-10.39,-0.53,11.34,1.09,0.161,11.344,,,,,,,,
run,jg2_s2,jg2,"guard-v2 (fixed hparams, reward v2)",2,1.641,1.164,-8.91,-2.38,11.53,4.41,0.196,11.535,-0.323,-11.12,-2.71,9.84,2.7,0.151,9.046,,,,,,,,
run,jg1_s0,jg1,guard-v1 (reward v1),0,3.787,1.813,-4.27,0.3,9.22,2.0,0.148,9.221,1.088,-5.73,0.77,7.98,1.34,0.119,7.983,,,,,,,,
run,jg1_s1,jg1,guard-v1 (reward v1),1,3.734,2.093,-5.98,0.13,10.71,3.5,0.208,10.714,1.601,-7.01,1.92,10.48,1.01,0.161,10.476,,,,,,,,
run,jg1_s2,jg1,guard-v1 (reward v1),2,0.398,-0.198,-10.95,-6.48,12.63,4.0,0.253,-7.668,-1.433,-12.2,-5.68,11.49,0.66,0.189,-1.4,,,,,,,,
run,jhp_s0,jhp,llm_hparam,0,11.351,6.707,5.04,9.44,9.19,3.15,0.193,9.193,8.632,5.76,15.53,10.7,2.54,0.148,10.702,,,,,,,,
run,jhp_s1,jhp,llm_hparam,1,8.487,5.521,1.55,7.34,10.35,2.84,0.051,10.353,6.434,1.27,11.45,11.22,1.8,0.043,11.225,,,,,,,,
run,jhp_s2,jhp,llm_hparam,2,12.238,9.575,14.45,20.35,0.16,3.34,0.066,0.156,11.871,16.64,28.06,3.12,-0.34,0.044,3.117,,,,,,,,
run,jrhp_s0,jrhp,random_hparam,0,14.701,10.528,13.97,23.09,0.34,4.72,0.059,0.341,12.217,16.33,30.59,0.28,1.67,0.035,0.278,,,,,,,,
run,jrhp_s1,jrhp,random_hparam,1,6.282,4.058,-2.32,4.59,9.99,3.97,0.166,9.991,3.49,-3.78,6.6,8.85,2.29,0.125,8.852,,,,,,,,
run,jrhp_s2,jrhp,random_hparam,2,11.967,7.617,7.15,14.56,5.09,3.67,0.076,5.094,9.55,8.7,22.27,5.92,1.31,0.051,5.916,,,,,,,,
run,jrw_s0,jrw,llm_reward,0,10.512,6.039,2.96,9.23,8.9,3.06,0.124,8.905,7.623,3.27,15.65,9.63,1.93,0.095,9.634,,,,,,,,
run,jrw_s1,jrw,llm_reward,1,3.261,2.238,-0.77,3.35,4.51,1.87,0.031,4.505,3.326,-0.34,7.62,5.4,0.62,0.025,5.399,,,,,,,,
run,jrw_s2,jrw,llm_reward,2,7.81,6.871,2.55,8.97,10.93,5.04,0.202,10.926,7.045,2.26,12.39,10.95,2.59,0.144,10.949,,,,,,,,
arm,,jg2,"guard-v2 (fixed hparams, reward v2)",,3.07±1.94,1.59±0.87,-6.9,-0.6,10.4,3.4,,,0.97±1.37,,,,,,,3,,,,,,,
arm,,jg1,guard-v1 (reward v1),,2.64±1.59,1.24±1.02,-7.1,-2.0,10.9,3.2,,,0.42±1.33,,,,,,,3,,,,,,,
arm,,jhp,llm_hparam,,10.69±1.60,7.27±1.70,7.0,12.4,6.6,3.1,,,8.98±2.23,,,,,,,3,,,,,,,
arm,,jrhp,random_hparam,,10.98±3.51,7.40±2.65,6.3,14.1,5.1,4.1,,,8.42±3.65,,,,,,,3,,,,,,,
arm,,jrw,llm_reward,,7.19±2.99,5.05±2.02,1.6,7.2,8.1,3.3,,,6.00±1.90,,,,,,,3,,,,,,,
paired,,,,,,,,,,,,,,,,,,,,3,jg1 - jg2,S3-S6,-0.351,1,0.75,0.7146,-0.99 1.30 -1.36
paired,,,,,,,,,,,,,,,,,,,,3,jg1 - jg2,S7-S10,-0.554,1,0.75,0.6045,-1.77 1.22 -1.11
paired,,,,,,,,,,,,,,,,,,,,3,jhp - jg2,S3-S6,5.681,3,0.25,0.0547,3.90 4.73 8.41
paired,,,,,,,,,,,,,,,,,,,,3,jhp - jg2,S7-S10,8.007,3,0.25,0.0621,5.77 6.06 12.19
paired,,,,,,,,,,,,,,,,,,,,3,jrhp - jg2,S3-S6,5.814,3,0.25,0.0483,7.72 3.27 6.45
paired,,,,,,,,,,,,,,,,,,,,3,jrhp - jg2,S7-S10,7.447,3,0.25,0.0756,9.36 3.11 9.87
paired,,,,,,,,,,,,,,,,,,,,3,jrw - jg2,S3-S6,3.462,3,0.25,0.1073,3.23 1.45 5.71
paired,,,,,,,,,,,,,,,,,,,,3,jrw - jg2,S7-S10,5.026,3,0.25,0.0594,4.76 2.95 7.37
paired,,,,,,,,,,,,,,,,,,,,3,jhp - jrhp,S3-S6,-0.133,2,1.0,0.9492,-3.82 1.46 1.96
paired,,,,,,,,,,,,,,,,,,,,3,jhp - jrhp,S7-S10,0.56,2,1.0,0.8131,-3.59 2.94 2.32
