run,arm,objective,campaign,eval_tag,F,F_strict,F_tol2,tier,target,del_red_pct,TwrBsMyt_DEL_red_pct,RootMyc1_DEL_red_pct,speed_std_ratio,speed_mae_ratio_R3,energy_loss_pct,power_mse_red_pct,gen_speed_mse_red_pct,constraints_ok,note
mpc,LPV-MPC,tower,mpc,heldout2W_N20q1r0.02qt0w0.35,-22.111,-22.111,-22.111,strict,tower,-22.111,-22.111,-3.105,0.907,1.067,-0.322,3.232,-10.34,True,"deterministic, n=1"
mpc,LPV-MPC,tower,mpc,heldoutW_N20q1r0.02qt0w0.35,-17.637,-17.637,-17.637,strict,tower,-17.637,-17.637,-0.707,0.912,0.966,-0.303,7.521,4.244,True,"deterministic, n=1"
mpc,LPV-MPC,tower,mpc,heldout_s3456_N20q1r0.02qt0w0.35,-116.205,-116.205,-76.205,degraded,tower,-17.637,-17.637,-0.707,1.049,1.085,-0.303,-409.43,-34.352,False,"deterministic, n=1"
mpc,LPV-MPC,tower,mpc,robust_ti14_N20q1r0.02qt0w0.35,-8.846,-8.846,-8.846,strict,tower,-8.846,-8.846,-0.729,0.905,0.846,-0.333,11.309,20.809,True,"deterministic, n=1"
mpc,LPV-MPC,tower,mpc,robust_ti22_N20q1r0.02qt0w0.35,-27.147,-27.147,-27.147,strict,tower,-27.147,-27.147,-1.148,0.853,0.786,-0.279,4.292,28.166,True,"deterministic, n=1"
mpc,LPV-MPC,tower,mpc,robust_u18_N20q1r0.02qt0w0.35,-56.082,-56.082,-56.082,strict,tower,-56.082,-56.082,0.945,0.641,0.678,-0.177,51.765,51.759,True,"deterministic, n=1"
mpc,LPV-MPC,tower,mpc,tune2_s12_N20q1r0.01qt0.3,-39485.467,-39485.467,-39445.467,degraded,tower,-114.06,-114.06,-51.121,19.984,119.848,71.14,-1006364.621,-1018153.292,False,"deterministic, n=1"
mpc,LPV-MPC,tower,mpc,tune2_s12_N20q1r0.01qt0,-1312.773,-1312.773,-1272.773,degraded,tower,-244.811,-244.811,-19.953,1.534,1.513,-0.17,-520.672,-146.5,False,"deterministic, n=1"
mpc,LPV-MPC,tower,mpc,tune2_s12_N20q1r0.01qt1,-37745.642,-37745.642,-37705.642,degraded,tower,-71.925,-71.925,-21.492,19.124,125.497,72.264,-1012002.521,-1088060.877,False,"deterministic, n=1"
mpc,LPV-MPC,tower,mpc,tune2_s12_N20q1r0.03qt0.3,-39121.201,-39121.201,-39081.201,degraded,tower,-95.928,-95.928,-61.63,19.81,120.528,71.221,-1007069.547,-1025916.635,False,"deterministic, n=1"
mpc,LPV-MPC,tower,mpc,tune2_s12_N20q1r0.03qt0,-124.491,-124.491,-84.491,degraded,tower,0.768,0.768,3.039,1.063,1.142,-0.345,-405.083,-35.202,False,"deterministic, n=1"
mpc,LPV-MPC,tower,mpc,tune2_s12_N20q1r0.03qt1,-37743.057,-37743.057,-37703.057,degraded,tower,-71.28,-71.28,-21.458,19.123,125.497,72.266,-1012025.105,-1088071.601,False,"deterministic, n=1"
mpc,LPV-MPC,tower,mpc,tune2_s12_N20q1r0.1qt0.3,-38029.242,-38029.242,-37989.242,degraded,tower,-76.381,-76.381,-4.03,19.271,123.491,71.546,-1008510.047,-1061215.09,False,"deterministic, n=1"
mpc,LPV-MPC,tower,mpc,tune2_s12_N20q1r0.1qt0,-387.881,-387.881,-347.881,degraded,tower,13.437,13.437,9.645,1.201,1.296,-0.393,-438.128,-69.774,False,"deterministic, n=1"
mpc,LPV-MPC,tower,mpc,tune2_s12_N20q1r0.1qt1,-37737.917,-37737.917,-37697.917,degraded,tower,-72.443,-72.443,-21.451,19.12,125.503,72.274,-1012083.758,-1088152.679,False,"deterministic, n=1"
mpc,LPV-MPC,tower,mpc,tune3_s12_N20q1r0.02qt0w0.25,-51.719,-51.719,-11.719,degraded,tower,-8.944,-8.944,2.705,1.021,1.088,-0.307,-395.583,-24.381,False,"deterministic, n=1"
mpc,LPV-MPC,tower,mpc,tune3_s12_N20q1r0.02qt0w0.35,-7.078,-7.078,-7.078,strict,tower,-7.078,-7.078,-1.198,0.988,1.078,-0.306,-392.94,-20.104,True,"deterministic, n=1"
mpc,LPV-MPC,tower,mpc,tune3_s12_N20q1r0.03qt0w0.25,-124.491,-124.491,-84.491,degraded,tower,0.768,0.768,3.039,1.063,1.142,-0.345,-405.083,-35.202,False,"deterministic, n=1"
mpc,LPV-MPC,tower,mpc,tune3_s12_N20q1r0.03qt0w0.35,-45.872,-45.872,-5.872,degraded,tower,6.244,6.244,1.164,1.026,1.131,-0.343,-402.189,-30.193,False,"deterministic, n=1"
mpc,LPV-MPC,tower,mpc,tune3_s12_N20q1r0.05qt0w0.25,-224.028,-224.028,-184.028,degraded,tower,8.906,8.906,6.174,1.116,1.209,-0.366,-420.632,-49.705,False,"deterministic, n=1"
mpc,LPV-MPC,tower,mpc,tune3_s12_N20q1r0.05qt0w0.35,-145.174,-145.174,-105.174,degraded,tower,12.53,12.53,9.083,1.079,1.198,-0.369,-417.257,-44.342,False,"deterministic, n=1"
mpc,LPV-MPC,tower,mpc,tune_s12_N20q1r0.003,-243.324,-243.324,-243.324,strict,tower,-243.324,-243.324,-45.118,1.0,nan,0.226,nan,nan,True,"deterministic, n=1"
mpc,LPV-MPC,tower,mpc,tune_s12_N20q1r0.01,-3182.769,-3182.769,-3142.769,degraded,tower,-164.835,-164.835,-24.924,2.509,2.823,0.222,-724.109,-728.363,False,"deterministic, n=1"
mpc,LPV-MPC,tower,mpc,tune_s12_N20q1r0.03,-4153.149,-4153.149,-4113.149,degraded,tower,-134.518,-134.518,-21.885,3.009,3.369,0.273,-1058.421,-1064.293,False,"deterministic, n=1"
mpc,LPV-MPC,tower,mpc,tune_s12_N20q1r0.1,-5576.064,-5576.064,-5536.064,degraded,tower,-114.336,-114.336,-20.078,3.731,3.966,0.279,-1545.08,-1553.644,False,"deterministic, n=1"
mpc,LPV-MPC,tower,mpc,tune_s12_N20q1r0.3,-5248.508,-5248.508,-5208.508,degraded,tower,-61.797,-61.797,-19.822,3.593,3.721,0.188,-1373.297,-1377.412,False,"deterministic, n=1"
mpc,LPV-MPC,tower,mpc,tune_s12_N20q1r1,-1678.514,-1678.514,-1638.514,degraded,tower,3.559,3.559,-0.108,1.841,1.866,0.137,-243.77,-243.907,False,"deterministic, n=1"
mpc600,LPV-MPC,tower,mpc600,heldout600W_N20q1r0.02qt0w0.35,-59.061,-59.061,-19.061,degraded,tower,-3.619,-3.619,0.743,1.028,1.019,-0.238,7.697,-2.476,False,600 s window
mpc600s,LPV-MPC,tower,mpc600s,win150_on600bank_N20q1r0.02qt0w0.35,-12.775,-12.775,-12.775,strict,tower,-12.775,-12.775,0.893,0.927,1.094,-0.36,-2.219,-14.158,True,150 s window on the 600 s bank
