arm,seed,F_tol2,tier,provenance,raw_artifacts,wind_bank
guard,0,11.5,strict,roadmap S11 table,LOST (retired WSL machine),WSL bank (pre 2026-09-01)
guard,1,12.6,strict,roadmap S11 table,LOST (retired WSL machine),WSL bank (pre 2026-09-01)
guard,2,15.6,tol2,roadmap S11 table,LOST (retired WSL machine),WSL bank (pre 2026-09-01)
mono,0,17.1,tol2,roadmap S11 table,LOST (retired WSL machine),WSL bank (pre 2026-09-01)
mono,1,11.6,tol2,roadmap S11 table,LOST (retired WSL machine),WSL bank (pre 2026-09-01)
mono,2,14.8,degraded,roadmap S11 table,LOST (retired WSL machine),WSL bank (pre 2026-09-01)
llm_fork,0,17.4,strict,roadmap S11/S13,LOST (retired WSL machine),WSL bank (pre 2026-09-01)
llm_fork,1,9.8,strict,roadmap S11/S13,LOST (retired WSL machine),WSL bank (pre 2026-09-01)
llm_fork,2,18.8,strict,roadmap S11/S13,LOST (retired WSL machine),WSL bank (pre 2026-09-01)
llm_fork,3,18.0,strict,local run n1_llmfork_s3,PRESENT (../runs/n1_llmfork_s3),mac bank (2026-09-01)
llm_fork,4,13.6,strict,local run n1_llmfork_s4,PRESENT (../runs/n1_llmfork_s4),mac bank (2026-09-01)
random_fork,0,12.7,strict,roadmap S11/S13,LOST (retired WSL machine),WSL bank (pre 2026-09-01)
random_fork,1,11.0,strict,roadmap S11/S13,LOST (retired WSL machine),WSL bank (pre 2026-09-01)
random_fork,2,23.2,strict,roadmap S11/S13,LOST (retired WSL machine),WSL bank (pre 2026-09-01)
random_fork,3,16.5,strict,local run n1_randfork_s3,PRESENT (../runs/n1_randfork_s3),mac bank (2026-09-01)
random_fork,4,8.1,strict,local run n1_randfork_s4,PRESENT (../runs/n1_randfork_s4),mac bank (2026-09-01)
schedule_E5curriculum,0,15.2,strict,roadmap S11,LOST (retired WSL machine),WSL bank (pre 2026-09-01)
schedule_E5curriculum,1,16.0,strict,roadmap S11,LOST (retired WSL machine),WSL bank (pre 2026-09-01)
schedule_E5curriculum,2,15.5,strict,roadmap S11,LOST (retired WSL machine),WSL bank (pre 2026-09-01)
