arm,n,power_mse_red_pct,gen_speed_mse_red_pct,TwrBsMyt_DEL_red_pct,RootMyc1_DEL_red_pct,energy_loss_pct,speed_std_ratio
guard,5,6.18,6.18,13.93,4.41,0.26,0.97
llm_fork,7,-3.05,2.02,17.89,5.95,0.39,0.99
llm_single,5,2.76,2.76,17.92,6.38,0.48,0.99
mono,5,-2.85,-2.85,13.8,5.03,0.34,1.01
random_fork,7,5.65,5.65,12.36,6.05,0.27,0.97
schedule_ep,5,-2.38,6.02,15.61,5.05,0.36,0.97
schedule_comp,5,-2.14,6.0,15.11,4.84,0.29,0.97
guard+torque,5,6.1,6.1,4.11,2.07,0.05,0.97
guard (blade obj),5,-9.43,15.05,11.59,9.28,0.48,0.92
LPV-MPC,1,7.52,4.24,-17.64,-0.71,-0.3,0.91
