run,arm,description,objective,done,best_episode,train_best_objective,heldout_s3456_objective,heldout_s3456_violation_pct,heldout_s3456_J_power_mse_red_pct,heldout_s3456_J_gen_speed_mse_red_pct,heldout_s3456_J_TwrBsMyt_DEL_red_pct,heldout_s3456_J_RootMyc1_DEL_red_pct,heldout_s78910_objective,heldout_s78910_J_power_mse_red_pct,heldout_s78910_J_gen_speed_mse_red_pct,heldout_s78910_J_TwrBsMyt_DEL_red_pct,heldout_s78910_J_RootMyc1_DEL_red_pct,abs_gspi_s3456_J,abs_gspi_s3456_J_power_mse_red_pct,abs_gspi_s3456_J_gen_speed_mse_red_pct,abs_gspi_s3456_J_TwrBsMyt_DEL_red_pct,abs_gspi_s3456_J_RootMyc1_DEL_red_pct,range_J,range_duty_x_gspi,range_J_power_mse_red_pct,range_J_gen_speed_mse_red_pct,range_J_TwrBsMyt_DEL_red_pct,range_J_RootMyc1_DEL_red_pct
trwCw3t_s0,trwCw3t,"agent-written reward, objective Cw (per-wind constraints)",Cw,True,0,-0.022,-0.01,0.0,-0.033,0.013,-0.049,0.124,-18.163,0.019,0.056,-1.177,1.324,14.209,19.393,33.179,1.979,2.284,,,,,,
trwCw3t_s1,trwCw3t,"agent-written reward, objective Cw (per-wind constraints)",Cw,True,280,0.598,-10.956,0.223,-5.425,-7.563,4.2,2.187,-11.444,-6.671,-7.106,6.029,0.819,13.162,14.308,28.31,5.731,4.3,,,,,,
trwCw3t_s2,trwCw3t,"agent-written reward, objective Cw (per-wind constraints)",Cw,True,0,-0.004,-0.008,0.0,-0.027,0.011,-0.106,0.104,-18.25,-0.009,0.024,-1.227,1.305,14.19,19.393,33.177,1.926,2.264,15.227,1.141,22.939,29.504,4.996,3.468
tgCw3L10_s0,tgCw3L10,"fixed reward, tower weight 10, objective Cw",Cw,True,0,-0.022,-0.01,0.0,-0.033,0.013,-0.049,0.124,-18.163,0.019,0.056,-1.177,1.324,18.524,29.373,40.459,1.979,2.284,,,,,,
tgCw3L10_s1,tgCw3L10,"fixed reward, tower weight 10, objective Cw",Cw,True,0,0.007,-0.005,0.0,-0.022,0.013,-0.084,0.099,-18.241,-0.021,-0.015,-1.252,1.297,18.512,29.379,40.467,1.943,2.259,15.228,1.145,22.945,29.508,4.988,3.469
tgCw3L10_s2,tgCw3L10,"fixed reward, tower weight 10, objective Cw",Cw,True,0,-0.004,-0.008,0.0,-0.027,0.011,-0.106,0.104,-18.25,-0.009,0.024,-1.227,1.305,18.507,29.376,40.462,1.926,2.264,,,,,,
trwTw3t_s0,trwTw3t,"agent-written reward, objective CTw (per-wind constraints)",CTw,True,0,0.36,-0.049,0.0,-0.033,0.013,-0.049,0.124,-1.177,0.019,0.056,-1.177,1.324,14.209,19.393,33.179,1.979,2.284,15.245,1.138,22.943,29.505,5.046,3.486
trwTw3t_s1,trwTw3t,"agent-written reward, objective CTw (per-wind constraints)",CTw,True,280,3.781,-215.882,10.997,-4.891,-6.76,4.055,2.119,-217.037,-5.889,-5.843,6.176,0.806,13.365,14.794,28.83,5.611,4.223,,,,,,
trwTw3t_s2,trwTw3t,"agent-written reward, objective CTw (per-wind constraints)",CTw,True,0,0.353,-0.106,0.0,-0.027,0.011,-0.106,0.104,-1.227,-0.009,0.024,-1.227,1.305,14.19,19.393,33.177,1.926,2.264,,,,,,
tgTw3L10_s0,tgTw3L10,"fixed reward, tower weight 10, objective CTw",CTw,True,0,0.36,-0.049,0.0,-0.033,0.013,-0.049,0.124,-1.177,0.019,0.056,-1.177,1.324,18.524,29.373,40.459,1.979,2.284,15.245,1.138,22.943,29.505,5.046,3.486
tgTw3L10_s1,tgTw3L10,"fixed reward, tower weight 10, objective CTw",CTw,True,0,0.307,-0.084,0.0,-0.022,0.013,-0.084,0.099,-1.252,-0.021,-0.015,-1.252,1.297,18.512,29.379,40.467,1.943,2.259,,,,,,
tgTw3L10_s2,tgTw3L10,"fixed reward, tower weight 10, objective CTw",CTw,True,0,0.353,-0.106,0.0,-0.027,0.011,-0.106,0.104,-1.227,-0.009,0.024,-1.227,1.305,18.507,29.376,40.462,1.926,2.264,,,,,,
tgC3t_s0,tgC3t,"fixed reward (J-tuned, tower weight 1), objective C (set-mean)",C,True,0,-0.022,-0.013,0.0,-0.016,-0.011,-0.049,0.124,-3.552,-0.012,0.008,-1.177,1.324,14.209,19.393,33.179,1.979,2.284,,,,,,
tgC3t_s1,tgC3t,"fixed reward (J-tuned, tower weight 1), objective C (set-mean)",C,True,0,0.007,-0.005,0.0,-0.022,0.013,-0.084,0.099,-5.054,-0.021,-0.015,-1.252,1.297,18.512,29.379,40.467,1.943,2.259,,,,,,
tgC3t_s2,tgC3t,"fixed reward (J-tuned, tower weight 1), objective C (set-mean)",C,True,0,-0.004,-0.008,0.0,-0.027,0.011,-0.106,0.104,-4.53,-0.009,0.024,-1.227,1.305,18.507,29.376,40.462,1.926,2.264,,,,,,
trwC3t_s0,trwC3t,"agent-written reward, objective C (set-mean)",C,True,280,9.615,-36.339,0.0,-27.243,-45.435,7.434,3.073,-62.367,-35.008,-44.5,-2.131,1.527,-6.082,-7.224,-30.753,8.407,5.243,,,,,,
trwC3t_s1,trwC3t,"agent-written reward, objective C (set-mean)",C,True,300,6.927,-28.855,0.0,-15.521,-42.189,2.357,3.713,-120.834,-23.347,-44.142,-5.354,1.476,1.43,3.132,-6.929,3.619,5.9,,,,,,
trwC3t_s2,trwC3t,"agent-written reward, objective C (set-mean)",C,True,300,9.659,-31.723,0.0,-19.93,-43.516,2.751,3.969,-36.277,-28.902,-43.652,0.548,1.402,-2.726,-0.907,-20.078,3.974,6.107,16.168,4.057,23.33,31.241,5.16,4.943
