analysis,base,term,rho_sup_S36,rho_sup_S710,rho_S36_S710,n,optimism_mean,rho_sup_heldout,curse_mean,curse_median,rho_fork_next,rho_pred_real,sign_agree,rho_margin_real,rho_spread_real,rollback_frac
selection,gspi,J,0.8607910906298003,0.8965533794162828,0.9210349462365591,63,2.1450338999477023,,,,,,,,,
selection,gspi,power,0.9242511520737329,0.9760464669738863,0.9563652073732719,63,1.615715114509619,,,,,,,,,
selection,gspi,speed,0.9557891705069125,0.975326420890937,0.9808467741935485,63,0.6531848484118251,,,,,,,,,
selection,gspi,tower,0.9729262672811061,0.9672139016897082,0.9912154377880185,63,5.545250023139203,,,,,,,,,
selection,gspi,blade,0.8436059907834101,0.43327572964669736,0.5035042242703534,63,0.7659856137301619,,,,,,,,,
selection_within_arm,gspi,J,,,0.9015335801163404,61,,0.8676890534108935,,,,,,,,
selection_within_arm,gspi,tower,,,0.9421998942358538,61,,0.9058699101004758,,,,,,,,
selection_within_arm,gspi,speed,,,0.9742993125330512,61,,0.9172924378635642,,,,,,,,
selection,mpc,J,0.7202797202797203,0.7062937062937064,0.4685314685314686,12,2.0383501389276684,,,,,,,,,
selection,mpc,power,-0.013986013986013986,0.4755244755244756,0.49650349650349657,12,2.8980681523610965,,,,,,,,,
selection,mpc,speed,0.09090909090909093,0.6153846153846154,0.39860139860139865,12,0.6307563239692291,,,,,,,,,
selection,mpc,tower,0.9300699300699302,0.9930069930069931,0.9090909090909092,12,3.0172307553473496,,,,,,,,,
selection,mpc,blade,0.3706293706293707,0.7622377622377624,-0.11188811188811189,12,1.6073453240329965,,,,,,,,,
selection_within_arm,mpc,J,,,0.013986013986013986,12,,0.2447552447552448,,,,,,,,
selection_within_arm,mpc,tower,,,0.3426573426573427,12,,0.965034965034965,,,,,,,,
selection_within_arm,mpc,speed,,,0.30069930069930073,12,,0.5034965034965035,,,,,,,,
fork,gspi,J,,,,210,,,3.197208323113722,0.30895930773725855,0.5721794792884839,0.4641122409643238,0.7428571428571429,,,
fork,gspi,power,,,,210,,,2.8330548253480785,-0.5747301643601794,0.6292834628579203,0.44682775443563666,0.7142857142857143,,,
fork,gspi,speed,,,,210,,,5.405704995576408,0.09226740186498716,0.6210824346519034,0.5004240458967324,0.7285714285714285,,,
fork,gspi,tower,,,,210,,,2.5178826062940116,1.5774812483170555,0.8622411262970006,0.4551739106490915,0.7,,,
fork,gspi,blade,,,,210,,,0.289270952701208,-0.15931122095812214,0.6822772139309928,0.5274204468517264,0.7095238095238096,,,
fork_margin,gspi,J,,,,210,,,,,,,,0.05663426122393445,-0.0261275765890383,
fork,mpc,J,,,,30,,,12.952832455610157,10.220760606280137,0.1403781979977753,0.5385984427141268,0.4666666666666667,,,
fork,mpc,power,,,,30,,,18.191968917766193,14.810535266516167,0.16484983314794216,0.3975528364849833,0.5,,,
fork,mpc,speed,,,,30,,,27.828359246240343,17.30253534340099,0.06295884315906564,0.4629588431590656,0.5,,,
fork,mpc,tower,,,,30,,,5.674935497781306,5.794547732998516,0.7334816462736374,0.7268075639599554,0.6,,,
fork,mpc,blade,,,,30,,,0.05972261572912228,-0.37883306217895374,0.22313681868743046,0.4825361512791991,0.6666666666666666,,,
fork_margin,mpc,J,,,,30,,,,,,,,-0.3032258064516129,-0.1586206896551724,
fork,all,J,,,,240,,,4.416661339675777,0.5027231486567318,0.45790551919304145,0.41533793989478973,0.7083333333333334,,,
fork,all,power,,,,240,,,4.752919086900343,-0.08646166477080541,0.5166218163509783,0.38213771072414443,0.6875,,,
fork,all,speed,,,,240,,,8.2085367769094,0.41349093382139834,0.47579211444643127,0.4514427333807877,0.7,,,
fork,all,tower,,,,240,,,2.9125142177299232,1.8806081833007497,0.8776506536571814,0.47191097067657417,0.6875,,,
fork,all,blade,,,,240,,,0.2605774105796973,-0.16946080475020509,0.6867992499869788,0.533280091668258,0.7041666666666667,,,
fork_margin,all,J,,,,240,,,,,,,,0.018482959773607175,-0.027161929894616216,
control_no_fork,gspi,J,,,,189,,,0.08161352563365165,-0.35983180149383287,,,,,,0.3862433862433862
control_no_fork,mpc,J,,,,54,,,-0.09554608648834617,-0.6068045265489914,,,,,,0.5740740740740741
