kind,file,size_bytes,mtime_utc,copy_to,in_this_package,note
wind,U10.5_TI8_S1.bts,23112166,2026-09-06T06:39:20Z,~/wtrl/wind,yes,
wind,U10.5_TI8_S1.inp,7129,2026-09-06T06:38:30Z,~/wtrl/wind,yes,
wind,U10.5_TI8_S1.log,1122,2026-09-06T06:39:20Z,~/wtrl/wind,yes,
wind,U10.5_TI8_S1.sum,33644,2026-09-06T06:39:20Z,~/wtrl/wind,yes,
wind,U10.5_TI8_S2.bts,23112166,2026-09-06T06:39:20Z,~/wtrl/wind,yes,
wind,U10.5_TI8_S2.inp,7129,2026-09-06T06:38:30Z,~/wtrl/wind,yes,
wind,U10.5_TI8_S2.log,1122,2026-09-06T06:39:20Z,~/wtrl/wind,yes,
wind,U10.5_TI8_S2.sum,33644,2026-09-06T06:39:20Z,~/wtrl/wind,yes,
wind,U10.5_TI8_S3.bts,23112166,2026-09-06T06:40:14Z,~/wtrl/wind,yes,
wind,U10.5_TI8_S3.inp,7129,2026-09-06T06:39:20Z,~/wtrl/wind,yes,
wind,U10.5_TI8_S3.log,1122,2026-09-06T06:40:14Z,~/wtrl/wind,yes,
wind,U10.5_TI8_S3.sum,33644,2026-09-06T06:40:14Z,~/wtrl/wind,yes,
wind,U10.5_TI8_S4.bts,23112166,2026-09-06T06:40:14Z,~/wtrl/wind,yes,
wind,U10.5_TI8_S4.inp,7129,2026-09-06T06:39:20Z,~/wtrl/wind,yes,
wind,U10.5_TI8_S4.log,1122,2026-09-06T06:40:14Z,~/wtrl/wind,yes,
wind,U10.5_TI8_S4.sum,33644,2026-09-06T06:40:14Z,~/wtrl/wind,yes,
wind,U10.5_TI8_S5.bts,23112166,2026-09-06T06:40:14Z,~/wtrl/wind,yes,
wind,U10.5_TI8_S5.inp,7129,2026-09-06T06:39:20Z,~/wtrl/wind,yes,
wind,U10.5_TI8_S5.log,1122,2026-09-06T06:40:14Z,~/wtrl/wind,yes,
wind,U10.5_TI8_S5.sum,33644,2026-09-06T06:40:14Z,~/wtrl/wind,yes,
wind,U10.5_TI8_S6.bts,23112166,2026-09-06T06:40:14Z,~/wtrl/wind,yes,
wind,U10.5_TI8_S6.inp,7129,2026-09-06T06:39:20Z,~/wtrl/wind,yes,
wind,U10.5_TI8_S6.log,1122,2026-09-06T06:40:14Z,~/wtrl/wind,yes,
wind,U10.5_TI8_S6.sum,33644,2026-09-06T06:40:14Z,~/wtrl/wind,yes,
wind,U12.5_TI14_S3.bts,23160166,2026-09-06T02:16:04Z,~/wtrl/wind,yes,
wind,U12.5_TI14_S3.inp,7116,2026-09-06T02:14:44Z,~/wtrl/wind,yes,
wind,U12.5_TI14_S3.log,1124,2026-09-06T02:16:04Z,~/wtrl/wind,yes,
wind,U12.5_TI14_S3.sum,33833,2026-09-06T02:16:04Z,~/wtrl/wind,yes,
wind,U12.5_TI14_S4.bts,23160166,2026-09-06T02:16:04Z,~/wtrl/wind,yes,
wind,U12.5_TI14_S4.inp,7116,2026-09-06T02:14:44Z,~/wtrl/wind,yes,
wind,U12.5_TI14_S4.log,1124,2026-09-06T02:16:04Z,~/wtrl/wind,yes,
wind,U12.5_TI14_S4.sum,33833,2026-09-06T02:16:04Z,~/wtrl/wind,yes,
wind,U12.5_TI2_S1.bts,23160166,2026-09-04T23:55:14Z,~/wtrl/wind,yes,
wind,U12.5_TI2_S1.inp,7114,2026-09-04T23:53:50Z,~/wtrl/wind,yes,
wind,U12.5_TI2_S1.log,1122,2026-09-04T23:55:14Z,~/wtrl/wind,yes,
wind,U12.5_TI2_S1.sum,33832,2026-09-04T23:55:14Z,~/wtrl/wind,yes,
wind,U12.5_TI2_S2.bts,23160166,2026-09-04T23:55:14Z,~/wtrl/wind,yes,
wind,U12.5_TI2_S2.inp,7114,2026-09-04T23:53:50Z,~/wtrl/wind,yes,
wind,U12.5_TI2_S2.log,1122,2026-09-04T23:55:14Z,~/wtrl/wind,yes,
wind,U12.5_TI2_S2.sum,33832,2026-09-04T23:55:14Z,~/wtrl/wind,yes,
wind,U12.5_TI8_S1.bts,23160166,2026-09-01T08:01:06Z,~/wtrl/wind,yes,
wind,U12.5_TI8_S1.inp,7114,2026-09-01T07:59:52Z,~/wtrl/wind,yes,
wind,U12.5_TI8_S1.log,1122,2026-09-01T08:01:06Z,~/wtrl/wind,yes,
wind,U12.5_TI8_S1.sum,33832,2026-09-01T08:01:06Z,~/wtrl/wind,yes,
wind,U12.5_TI8_S10.bts,23160166,2026-09-09T23:08:17Z,~/wtrl/wind,yes,
wind,U12.5_TI8_S10.inp,7116,2026-09-09T23:08:17Z,~/wtrl/wind,yes,
wind,U12.5_TI8_S10.sum,33834,2026-09-09T23:08:17Z,~/wtrl/wind,yes,
wind,U12.5_TI8_S2.bts,23160166,2026-09-01T08:01:06Z,~/wtrl/wind,yes,
wind,U12.5_TI8_S2.inp,7114,2026-09-01T07:59:52Z,~/wtrl/wind,yes,
wind,U12.5_TI8_S2.log,1122,2026-09-01T08:01:06Z,~/wtrl/wind,yes,
wind,U12.5_TI8_S2.sum,33832,2026-09-01T08:01:06Z,~/wtrl/wind,yes,
wind,U12.5_TI8_S3.bts,23160166,2026-09-01T08:02:24Z,~/wtrl/wind,yes,
wind,U12.5_TI8_S3.inp,7114,2026-09-01T08:01:06Z,~/wtrl/wind,yes,
wind,U12.5_TI8_S3.log,1122,2026-09-01T08:02:24Z,~/wtrl/wind,yes,
wind,U12.5_TI8_S3.sum,33832,2026-09-01T08:02:24Z,~/wtrl/wind,yes,
wind,U12.5_TI8_S4.bts,23160166,2026-09-01T08:02:24Z,~/wtrl/wind,yes,
wind,U12.5_TI8_S4.inp,7114,2026-09-01T08:01:06Z,~/wtrl/wind,yes,
wind,U12.5_TI8_S4.log,1122,2026-09-01T08:02:24Z,~/wtrl/wind,yes,
wind,U12.5_TI8_S4.sum,33832,2026-09-01T08:02:24Z,~/wtrl/wind,yes,
wind,U12.5_TI8_S5.bts,23160166,2026-09-01T08:02:24Z,~/wtrl/wind,yes,
wind,U12.5_TI8_S5.inp,7114,2026-09-01T08:01:06Z,~/wtrl/wind,yes,
wind,U12.5_TI8_S5.log,1122,2026-09-01T08:02:24Z,~/wtrl/wind,yes,
wind,U12.5_TI8_S5.sum,33832,2026-09-01T08:02:24Z,~/wtrl/wind,yes,
wind,U12.5_TI8_S6.bts,23160166,2026-09-01T08:02:24Z,~/wtrl/wind,yes,
wind,U12.5_TI8_S6.inp,7114,2026-09-01T08:01:06Z,~/wtrl/wind,yes,
wind,U12.5_TI8_S6.log,1122,2026-09-01T08:02:24Z,~/wtrl/wind,yes,
wind,U12.5_TI8_S6.sum,33832,2026-09-01T08:02:24Z,~/wtrl/wind,yes,
wind,U12.5_TI8_S7.bts,23160166,2026-09-09T23:08:15Z,~/wtrl/wind,yes,
wind,U12.5_TI8_S7.inp,7114,2026-09-09T23:08:15Z,~/wtrl/wind,yes,
wind,U12.5_TI8_S7.sum,33833,2026-09-09T23:08:15Z,~/wtrl/wind,yes,
wind,U12.5_TI8_S8.bts,23160166,2026-09-09T23:08:15Z,~/wtrl/wind,yes,
wind,U12.5_TI8_S8.inp,7114,2026-09-09T23:08:16Z,~/wtrl/wind,yes,
wind,U12.5_TI8_S8.sum,33833,2026-09-09T23:08:16Z,~/wtrl/wind,yes,
wind,U12.5_TI8_S9.bts,23160166,2026-09-09T23:08:16Z,~/wtrl/wind,yes,
wind,U12.5_TI8_S9.inp,7114,2026-09-09T23:08:17Z,~/wtrl/wind,yes,
wind,U12.5_TI8_S9.sum,33833,2026-09-09T23:08:17Z,~/wtrl/wind,yes,
wind,U13_TI8_S1.bts,23112166,2026-09-06T06:32:48Z,~/wtrl/wind,yes,
wind,U13_TI8_S1.inp,7125,2026-09-06T06:32:00Z,~/wtrl/wind,yes,
wind,U13_TI8_S1.log,1118,2026-09-06T06:32:48Z,~/wtrl/wind,yes,
wind,U13_TI8_S1.sum,33642,2026-09-06T06:32:48Z,~/wtrl/wind,yes,
wind,U13_TI8_S2.bts,23112166,2026-09-06T06:41:12Z,~/wtrl/wind,yes,
wind,U13_TI8_S2.inp,7125,2026-09-06T06:40:14Z,~/wtrl/wind,yes,
wind,U13_TI8_S2.log,1118,2026-09-06T06:41:12Z,~/wtrl/wind,yes,
wind,U13_TI8_S2.sum,33642,2026-09-06T06:41:12Z,~/wtrl/wind,yes,
wind,U13_TI8_S3.bts,23112166,2026-09-06T06:41:12Z,~/wtrl/wind,yes,
