comparison,wind_set,n,mean_diff,std_diff,n_positive,exact_perm_p,exact_floor,d_z
llm_fork - random_fork,S3-S6,7,5.53,4.64,7,0.0156,0.0156,1.19
llm_fork - random_fork,S7-S10,7,4.97,3.59,7,0.0156,0.0156,1.38
llm_fork - guard,S3-S6,5,3.48,2.6,5,0.0625,0.0625,1.34
llm_fork - guard,S7-S10,5,2.66,1.75,5,0.0625,0.0625,1.52
llm_fork - llm_single,S3-S6,5,-0.52,3.55,3,0.9375,0.0625,-0.15
llm_fork - llm_single,S7-S10,5,-0.54,2.23,3,0.75,0.0625,-0.24
random_fork - guard,S3-S6,5,-1.96,6.92,2,0.6875,0.0625,-0.28
random_fork - guard,S7-S10,5,-2.55,5.39,2,0.375,0.0625,-0.47
schedule_ep - guard,S3-S6,5,1.69,1.79,4,0.1875,0.0625,0.94
schedule_ep - guard,S7-S10,5,1.28,1.76,4,0.25,0.0625,0.73
guard - mono,S3-S6,5,0.12,4.95,2,0.9375,0.0625,0.02
guard - mono,S7-S10,5,0.29,4.32,3,0.8125,0.0625,0.07
guard - guard+torque,S3-S6,5,9.81,4.31,5,0.0625,0.0625,2.28
